date,东四,天坛,官园,万寿西宫,奥体中心,农展馆,万柳,北部新区,植物园,丰台花园,云岗,古城,房山,大兴,亦庄,通州,顺义,昌平,门头沟,平谷,怀柔,密云,延庆,定陵,八达岭,密云水库,东高村,永乐店,榆垡,琉璃河,前门,永定门内,西直门北,南三环,东四环,东城东四,东城天坛,西城官园,西城万寿西宫,朝阳奥体中心,朝阳农展馆,海淀万柳,海淀四季青,丰台小屯,丰台云岗,石景山古城,石景山老山,昌平镇,昌平南邵,定陵(对照点),延庆夏都,延庆石河营,怀柔镇,怀柔新城,密云镇,密云新城,平谷镇,平谷新城,顺义新城,顺义北小营,通州永顺,通州东关,大兴黄村,大兴旧宫,亦庄开发区,京东南区域点,门头沟双峪,门头沟三家店,房山良乡,房山燕山
20210101,54.25,52.583333333333336,54.208333333333336,57.333333333333336,53.541666666666664,60.875,62.375,75.20833333333333,,53.375,54.833333333333336,70.95833333333333,63.375,65.875,57.625,72.33333333333333,49.875,48.5,56.0,53.833333333333336,36.958333333333336,48.208333333333336,57.875,43.083333333333336,61.541666666666664,29.25,86.25,76.70833333333333,72.04166666666667,67.5,54.833333333333336,54.041666666666664,56.708333333333336,81.33333333333333,70.0,122.0,109.0,135.0,119.0,163.0,117.0,137.0,142.0,145.0,114.0,139.0,133.0,112.0,122.0,112.0,124.0,123.0,92.0,99.0,105.0,95.0,69.0,104.0,133.0,137.0,97.0,84.0,108.0,89.0,103.0,124.0,145.0,132.0,139.0,128.0
20210102,74.17391304347827,77.69565217391305,77.73913043478261,78.17391304347827,75.04347826086956,73.0,75.26086956521739,84.56521739130434,,76.47826086956522,73.21739130434783,82.82608695652173,84.04347826086956,72.43478260869566,76.34782608695652,73.52173913043478,67.65217391304348,61.47826086956522,75.26086956521739,67.1304347826087,62.17391304347826,56.82608695652174,43.130434782608695,59.34782608695652,47.73913043478261,44.869565217391305,72.6086956521739,81.65217391304348,103.95652173913044,94.17391304347827,75.69565217391305,79.8695652173913,81.26086956521739,83.82608695652173,86.08695652173913,122.0,109.0,135.0,119.0,163.0,117.0,137.0,142.0,145.0,114.0,139.0,133.0,112.0,122.0,112.0,124.0,123.0,92.0,99.0,105.0,95.0,69.0,104.0,133.0,137.0,97.0,84.0,108.0,89.0,103.0,124.0,145.0,132.0,139.0,128.0
20210103,29.416666666666668,27.875,31.583333333333332,30.666666666666668,32.5,35.041666666666664,35.125,56.333333333333336,,25.583333333333332,38.125,40.125,60.583333333333336,35.833333333333336,30.458333333333332,43.958333333333336,29.833333333333332,29.125,39.583333333333336,33.75,22.75,25.208333333333332,28.458333333333332,25.166666666666668,30.0,20.375,46.75,46.583333333333336,68.04166666666667,68.41666666666667,30.833333333333332,28.208333333333332,33.708333333333336,42.333333333333336,44.541666666666664,122.0,109.0,135.0,119.0,163.0,117.0,137.0,142.0,145.0,114.0,139.0,133.0,112.0,122.0,112.0,124.0,123.0,92.0,99.0,105.0,95.0,69.0,104.0,133.0,137.0,97.0,84.0,108.0,89.0,103.0,124.0,145.0,132.0,139.0,128.0
20210104,37.869565217391305,37.26086956521739,40.36521739130435,37.56521739130435,42.82608695652174,44.0,38.30434782608695,50.52173913043478,,27.391304347826086,43.78260869565217,42.869565217391305,45.869565217391305,50.26086956521739,44.17391304347826,49.43478260869565,37.130434782608695,31.956521739130434,35.21739130434783,31.52173913043478,25.652173913043477,35.391304347826086,38.43478260869565,28.695652173913043,43.43478260869565,21.52173913043478,47.34782608695652,60.869565217391305,57.78260869565217,63.73913043478261,35.0,37.82608695652174,40.608695652173914,49.130434782608695,48.26086956521739,122.0,109.0,135.0,119.0,163.0,117.0,137.0,142.0,145.0,114.0,139.0,133.0,112.0,122.0,112.0,124.0,123.0,92.0,99.0,105.0,95.0,69.0,104.0,133.0,137.0,97.0,84.0,108.0,89.0,103.0,124.0,145.0,132.0,139.0,128.0
20210105,32.40909090909091,28.136363636363637,51.16363636363636,31.90909090909091,32.90909090909091,32.59090909090909,33.22727272727273,36.22727272727273,,20.681818181818183,36.22727272727273,34.36363636363637,37.63636363636363,32.0,29.136363636363637,33.95454545454545,26.818181818181817,29.272727272727273,33.86363636363637,26.90909090909091,24.681818181818183,28.5,29.545454545454547,21.681818181818183,33.63636363636363,18.954545454545453,41.40909090909091,30.727272727272727,35.63636363636363,59.22727272727273,30.045454545454547,30.863636363636363,35.81818181818182,40.04545454545455,37.04545454545455,122.0,109.0,135.0,119.0,163.0,117.0,137.0,142.0,145.0,114.0,139.0,133.0,112.0,122.0,112.0,124.0,123.0,92.0,99.0,105.0,95.0,69.0,104.0,133.0,137.0,97.0,84.0,108.0,89.0,103.0,124.0,145.0,132.0,139.0,128.0
20210106,64.16666666666667,65.875,63.333333333333336,63.916666666666664,64.33333333333333,64.45833333333333,61.416666666666664,81.91666666666667,,19.875,68.75,92.875,93.70833333333333,91.875,67.29166666666667,80.79166666666667,53.833333333333336,48.583333333333336,70.41666666666667,38.5,37.25,35.291666666666664,37.083333333333336,38.333333333333336,42.166666666666664,22.208333333333332,108.33333333333333,124.54166666666667,135.625,91.375,52.708333333333336,54.083333333333336,60.708333333333336,95.04166666666667,81.375,122.0,109.0,135.0,119.0,163.0,117.0,137.0,142.0,145.0,114.0,139.0,133.0,112.0,122.0,112.0,124.0,123.0,92.0,99.0,105.0,95.0,69.0,104.0,133.0,137.0,97.0,84.0,108.0,89.0,103.0,124.0,145.0,132.0,139.0,128.0
20210107,32.09090909090909,35.18181818181818,34.40909090909091,29.136363636363637,32.95454545454545,32.77272727272727,30.318181818181817,43.88636363636363,,16.636363636363637,34.95454545454545,35.45454545454545,37.5,21.795454545454547,29.954545454545453,34.63636363636363,20.227272727272727,30.318181818181817,34.63636363636363,22.681818181818183,18.318181818181817,17.363636363636363,25.5,24.90909090909091,38.09090909090909,15.681818181818182,23.90909090909091,30.40909090909091,57.04545454545455,45.72727272727273,32.40909090909091,27.227272727272727,36.54545454545455,42.18181818181818,40.68181818181818,122.0,109.0,135.0,119.0,163.0,117.0,137.0,142.0,145.0,114.0,139.0,133.0,112.0,122.0,112.0,124.0,123.0,92.0,99.0,105.0,95.0,69.0,104.0,133.0,137.0,97.0,84.0,108.0,89.0,103.0,124.0,145.0,132.0,139.0,128.0
20210109,37.25,42.833333333333336,40.333333333333336,39.458333333333336,35.791666666666664,38.125,36.666666666666664,41.75,,22.166666666666668,54.375,45.041666666666664,53.625,23.916666666666668,37.541666666666664,39.375,24.75,38.208333333333336,39.208333333333336,25.375,24.708333333333332,30.708333333333332,35.041666666666664,31.416666666666668,53.958333333333336,16.958333333333332,33.333333333333336,45.958333333333336,69.08333333333333,56.875,32.5,32.208333333333336,32.541666666666664,49.5,37.583333333333336,122.0,109.0,135.0,119.0,163.0,117.0,137.0,142.0,145.0,114.0,139.0,133.0,112.0,122.0,112.0,124.0,123.0,92.0,99.0,105.0,95.0,69.0,104.0,133.0,137.0,97.0,84.0,108.0,89.0,103.0,124.0,145.0,132.0,139.0,128.0
20210110,25.541666666666668,31.416666666666668,25.833333333333332,25.729166666666668,25.875,24.916666666666668,23.208333333333332,30.833333333333332,,21.8125,37.041666666666664,28.0,33.166666666666664,32.166666666666664,26.166666666666668,26.354166666666668,22.416666666666668,23.333333333333332,26.0,25.625,24.541666666666668,30.458333333333332,23.5,20.791666666666668,29.958333333333332,17.833333333333332,40.833333333333336,34.791666666666664,34.541666666666664,47.333333333333336,23.208333333333332,20.083333333333332,20.916666666666668,34.375,25.916666666666668,122.0,109.0,135.0,119.0,163.0,117.0,137.0,142.0,145.0,114.0,139.0,133.0,112.0,122.0,112.0,124.0,123.0,92.0,99.0,105.0,95.0,69.0,104.0,133.0,137.0,97.0,84.0,108.0,89.0,103.0,124.0,145.0,132.0,139.0,128.0
20210111,54.791666666666664,54.25,57.0,58.541666666666664,58.458333333333336,57.333333333333336,53.458333333333336,62.541666666666664,,31.75,71.125,72.16666666666667,57.708333333333336,55.25,56.041666666666664,60.979166666666664,48.5,51.166666666666664,60.833333333333336,46.0,40.625,40.25,51.041666666666664,45.083333333333336,57.583333333333336,35.583333333333336,53.354166666666664,63.458333333333336,60.958333333333336,71.75,52.5,51.791666666666664,49.583333333333336,67.25,57.541666666666664,122.0,109.0,135.0,119.0,163.0,117.0,137.0,142.0,145.0,114.0,139.0,133.0,112.0,122.0,112.0,124.0,123.0,92.0,99.0,105.0,95.0,69.0,104.0,133.0,137.0,97.0,84.0,108.0,89.0,103.0,124.0,145.0,132.0,139.0,128.0
