month,东四,天坛,官园,万寿西宫,奥体中心,农展馆,万柳,北部新区,植物园,丰台花园,云岗,古城,房山,大兴,亦庄,通州,顺义,昌平,门头沟,平谷,怀柔,密云,延庆,定陵,八达岭,密云水库,东高村,永乐店,榆垡,琉璃河,前门,永定门内,西直门北,南三环,东四环,东城东四,东城天坛,西城官园,西城万寿西宫,朝阳奥体中心,朝阳农展馆,海淀万柳,海淀四季青,丰台小屯,丰台云岗,石景山古城,石景山老山,昌平镇,昌平南邵,定陵(对照点),延庆夏都,延庆石河营,怀柔镇,怀柔新城,密云镇,密云新城,平谷镇,平谷新城,顺义新城,顺义北小营,通州永顺,通州东关,大兴黄村,大兴旧宫,亦庄开发区,京东南区域点,门头沟双峪,门头沟三家店,房山良乡,房山燕山
202101,59.32,58.14823529411765,64.72705882352942,62.874117647058824,60.95058823529412,63.19294117647059,63.004705882352944,72.48470588235294,,41.56823529411765,71.84941176470588,71.06117647058824,70.48705882352941,64.13058823529411,62.84470588235294,67.46117647058824,53.26117647058823,60.294117647058826,62.51882352941176,50.04470588235294,46.294117647058826,47.52,65.9835294117647,54.88,73.61176470588235,38.896470588235296,64.02235294117646,79.45647058823529,85.70823529411764,77.42588235294117,56.84470588235294,55.81764705882353,57.663529411764706,74.27058823529411,66.76470588235294,114.29176470588236,102.12,125.44470588235293,111.13176470588235,150.35529411764705,109.87058823529412,127.48705882352941,131.65411764705883,134.74588235294118,107.56941176470588,129.9505882352941,124.16705882352942,104.04,114.29882352941176,103.27058823529411,114.92235294117647,113.54588235294118,85.29411764705883,91.74588235294118,97.08941176470589,88.15058823529412,65.79294117647059,96.45411764705882,122.05411764705882,125.81882352941176,91.73647058823529,79.86823529411765,101.7129411764706,84.74117647058823,96.4235294117647,117.10588235294118,135.13647058823528,123.65411764705883,129.93411764705883,119.23529411764706
202102,57.0,52.0,63.0,59.0,58.0,65.0,68.0,80.0,,44.0,66.0,65.0,75.0,64.0,61.0,64.0,62.0,73.0,57.0,56.0,60.0,58.0,42.0,37.0,48.0,58.0,62.0,77.0,79.0,58.0,55.0,63.0,50.0,72.0,56.0,96.63677130044843,93.17040358744394,92.88340807174887,96.32735426008969,94.90881913303438,95.29596412556054,93.86248131539611,95.62182361733932,98.11061285500747,90.42899850523169,94.04932735426009,90.18236173393124,87.10463378176382,94.36322869955157,84.30044843049328,85.90433482810164,82.02391629297459,87.39760837070254,84.40059790732437,89.62331838565022,89.34379671150971,94.42974588938715,96.29895366218236,97.17040358744394,96.08445440956652,104.56502242152466,99.73243647234679,95.7847533632287,98.77727952167415,99.60612855007474,108.04110612855007,89.78774289985053,88.95814648729447,101.73991031390135,89.63153961136024
202103,57.0,52.0,63.0,59.0,58.0,65.0,68.0,80.0,,44.0,66.0,65.0,75.0,64.0,61.0,64.0,62.0,73.0,57.0,56.0,60.0,58.0,42.0,37.0,48.0,58.0,62.0,77.0,79.0,58.0,55.0,63.0,50.0,72.0,56.0,145.6998106060606,138.73295454545453,145.50473484848484,145.6467803030303,148.01988636363637,139.6278409090909,148.89488636363637,148.5473484848485,153.27651515151516,151.75,148.50852272727272,147.23200757575756,148.6931818181818,150.31155303030303,144.28598484848484,136.83238636363637,130.6439393939394,140.13920454545453,136.8721590909091,132.74242424242425,136.04924242424244,133.20170454545453,130.2376893939394,144.7310606060606,140.6969696969697,140.47537878787878,139.0776515151515,138.40151515151516,135.75757575757575,140.18560606060606,139.56439393939394,155.89583333333334,156.45454545454547,150.13257575757575,149.51041666666666
202104,57.0,52.0,63.0,59.0,58.0,65.0,68.0,80.0,,44.0,66.0,65.0,75.0,64.0,61.0,64.0,62.0,73.0,57.0,56.0,60.0,58.0,42.0,37.0,48.0,58.0,62.0,77.0,79.0,58.0,55.0,63.0,50.0,72.0,56.0,69.29444444444445,64.85625,67.53680555555556,70.05208333333333,69.57777777777778,68.52222222222223,68.37361111111112,63.62361111111111,76.525,71.78541666666666,78.80416666666666,69.49722222222222,66.64097222222222,68.40208333333334,62.572916666666664,65.90277777777777,63.87777777777778,60.33263888888889,61.6375,62.56319444444444,63.90277777777778,65.08819444444444,64.0125,68.64236111111111,67.92152777777778,79.31388888888888,73.62638888888888,67.66666666666667,70.05763888888889,67.10625,74.17361111111111,71.64097222222222,74.48333333333333,77.84027777777777,71.38819444444445
202105,57.0,52.0,63.0,59.0,58.0,65.0,68.0,80.0,,44.0,66.0,65.0,75.0,64.0,61.0,64.0,62.0,73.0,57.0,56.0,60.0,58.0,42.0,37.0,48.0,58.0,62.0,77.0,79.0,58.0,55.0,63.0,50.0,72.0,56.0,66.58901098901099,56.32197802197802,52.716483516483514,58.825274725274724,63.36043956043956,62.88021978021978,59.505494505494504,55.38131868131868,56.706593406593406,61.31428571428572,66.99340659340659,61.15824175824176,58.848351648351645,60.067032967032965,52.54505494505494,57.214285714285715,54.62417582417582,55.13186813186813,58.324175824175825,63.402197802197804,63.2989010989011,65.46373626373627,62.402197802197804,64.41098901098901,60.457142857142856,71.68461538461538,68.8945054945055,56.65054945054945,73.45054945054945,58.33076923076923,68.03516483516484,61.534065934065936,61.66153846153846,62.97142857142857,60.84175824175824
202106,57.0,52.0,63.0,59.0,58.0,65.0,68.0,80.0,,44.0,66.0,65.0,75.0,64.0,61.0,64.0,62.0,73.0,57.0,56.0,60.0,58.0,42.0,37.0,48.0,58.0,62.0,77.0,79.0,58.0,55.0,63.0,50.0,72.0,56.0,52.88148667601683,48.36044880785414,48.03506311360449,46.16549789621318,47.60729312762973,49.53366058906031,46.40532959326788,43.49579242636746,47.918653576437585,49.48737727910238,50.90462833099579,46.171809256661994,44.90462833099579,46.047685834502104,41.713884992987374,42.927769985974756,39.389200561009815,44.084151472650774,43.410939691444604,45.78330995792427,46.193548387096776,48.125525946704066,46.88849929873773,49.600981767180926,48.603786816269285,51.927769985974756,53.38569424964937,49.98246844319775,49.957223001402525,50.19915848527349,65.62201963534362,50.313464235624124,48.35553997194951,51.93899018232819,44.55680224403927
202107,57.0,52.0,63.0,59.0,58.0,65.0,68.0,80.0,,44.0,66.0,65.0,75.0,64.0,61.0,64.0,62.0,73.0,57.0,56.0,60.0,58.0,42.0,37.0,48.0,58.0,62.0,77.0,79.0,58.0,55.0,63.0,50.0,72.0,56.0,42.36231884057971,39.57608695652174,39.00271739130435,37.192934782608695,36.528985507246375,39.54710144927536,37.119565217391305,32.95471014492754,36.95108695652174,38.09239130434783,39.42210144927536,35.0606884057971,37.21376811594203,37.365036231884055,35.31521739130435,34.22826086956522,31.3143115942029,35.73007246376812,38.354166666666664,34.091485507246375,33.67934782608695,37.9963768115942,39.958333333333336,38.55072463768116,38.656702898550726,41.48550724637681,41.62952898550725,39.18659420289855,37.91847826086956,38.84963768115942,45.83152173913044,39.03623188405797,36.697463768115945,39.55615942028985,35.13405797101449
202108,57.0,52.0,63.0,59.0,58.0,65.0,68.0,80.0,,44.0,66.0,65.0,75.0,64.0,61.0,64.0,62.0,73.0,57.0,56.0,60.0,58.0,42.0,37.0,48.0,58.0,62.0,77.0,79.0,58.0,55.0,63.0,50.0,72.0,56.0,44.14150943396226,41.392183288409704,42.21293800539083,40.54851752021563,38.84097035040431,40.713611859838274,39.911051212938006,37.6489218328841,42.086253369272235,41.09231805929919,44.26010781671159,41.25606469002695,39.87196765498652,38.844339622641506,35.63477088948787,38.642857142857146,36.102425876010784,34.83018867924528,35.51078167115903,34.224393530997304,32.96765498652291,37.506738544474395,37.315363881401616,39.13477088948787,38.632075471698116,43.474393530997304,44.10916442048517,43.07142857142857,40.99191374663073,40.2722371967655,44.3544474393531,42.29514824797844,41.66576819407008,44.620619946091644,38.200808625336926
202109,57.0,52.0,63.0,59.0,58.0,65.0,68.0,80.0,,44.0,66.0,65.0,75.0,64.0,61.0,64.0,62.0,73.0,57.0,56.0,60.0,58.0,42.0,37.0,48.0,58.0,62.0,77.0,79.0,58.0,55.0,63.0,50.0,72.0,56.0,41.4828431372549,35.46813725490196,38.73039215686274,36.52205882352941,37.245098039215684,38.63235294117647,36.74264705882353,34.447303921568626,40.79779411764706,36.666666666666664,40.325980392156865,38.92892156862745,33.450980392156865,34.97549019607843,30.754901960784313,32.970588235294116,30.94607843137255,32.134803921568626,31.110294117647058,32.627450980392155,27.970588235294116,35.08700980392157,33.908088235294116,36.76470588235294,34.98774509803921,43.161764705882355,43.455882352941174,40.85049019607843,37.73039215686274,37.47303921568628,46.166666666666664,37.004901960784316,35.05882352941177,41.83210784313726,35.21078431372549
202110,57.0,52.0,63.0,59.0,58.0,65.0,68.0,80.0,,44.0,66.0,65.0,75.0,64.0,61.0,64.0,62.0,73.0,57.0,56.0,60.0,58.0,42.0,37.0,48.0,58.0,62.0,77.0,79.0,58.0,55.0,63.0,50.0,72.0,56.0,62.40159045725646,58.433399602385684,60.64512922465209,59.813121272365805,60.47216699801193,60.013916500994036,56.763419483101394,49.216699801192846,65.31411530815109,54.72664015904572,61.15308151093439,58.70775347912525,48.9065606361829,45.93041749502982,42.50695825049702,44.84691848906561,42.165009940357855,47.42147117296223,44.92445328031809,45.486083499005964,52.62127236580517,60.788270377733596,56.51988071570577,57.72763419483101,57.90541795953252,68.66401590457257,71.16500994035785,63.038767395626245,61.92246520874752,64.26838966202783,76.33797216699801,51.70775347912525,52.74850894632207,64.82306163021869,47.48111332007952
