date,东四,天坛,官园,万寿西宫,奥体中心,农展馆,万柳,北部新区,植物园,丰台花园,云岗,古城,房山,大兴,亦庄,通州,顺义,昌平,门头沟,平谷,怀柔,密云,延庆,定陵,八达岭,密云水库,东高村,永乐店,榆垡,琉璃河,前门,永定门内,西直门北,南三环,东四环,东城东四,东城天坛,西城官园,西城万寿西宫,朝阳奥体中心,朝阳农展馆,海淀万柳,海淀四季青,丰台小屯,丰台云岗,石景山古城,石景山老山,昌平镇,昌平南邵,定陵(对照点),延庆夏都,延庆石河营,怀柔镇,怀柔新城,密云镇,密云新城,平谷镇,平谷新城,顺义新城,顺义北小营,通州永顺,通州东关,大兴黄村,大兴旧宫,亦庄开发区,京东南区域点,门头沟双峪,门头沟三家店,房山良乡,房山燕山
20210101,52.791666666666664,57.208333333333336,58.833333333333336,63.333333333333336,55.0,62.458333333333336,53.458333333333336,48.208333333333336,,63.958333333333336,44.75,46.75,68.45833333333333,61.916666666666664,65.125,60.375,42.125,34.25,39.75,31.166666666666668,29.083333333333332,37.625,29.541666666666668,28.708333333333332,31.75,11.75,42.375,49.416666666666664,55.291666666666664,39.458333333333336,62.5,55.625,66.04166666666667,78.0,59.458333333333336,79.0,67.0,80.0,90.0,93.0,81.0,76.0,65.0,76.0,53.0,62.0,74.0,44.0,35.0,33.0,54.0,57.0,26.0,26.0,58.0,35.0,31.0,43.0,80.0,72.0,79.0,78.0,71.0,69.0,79.0,71.0,51.0,59.0,66.0,41.0
20210102,46.95652173913044,52.65217391304348,54.869565217391305,56.0,55.391304347826086,52.91304347826087,54.0,48.608695652173914,,57.95652173913044,52.21739130434783,45.21739130434783,66.26086956521739,55.0,53.82608695652174,54.391304347826086,43.869565217391305,36.391304347826086,45.08695652173913,30.782608695652176,36.21739130434783,36.43478260869565,21.130434782608695,36.56521739130435,29.52173913043478,14.565217391304348,37.47826086956522,43.869565217391305,50.608695652173914,53.78260869565217,54.21739130434783,43.17391304347826,63.04347826086956,63.30434782608695,53.82608695652174,79.0,67.0,80.0,90.0,93.0,81.0,76.0,65.0,76.0,53.0,62.0,74.0,44.0,35.0,33.0,54.0,57.0,26.0,26.0,58.0,35.0,31.0,43.0,80.0,72.0,79.0,78.0,71.0,69.0,79.0,71.0,51.0,59.0,66.0,41.0
20210103,33.083333333333336,38.041666666666664,35.791666666666664,38.958333333333336,37.875,41.291666666666664,44.958333333333336,48.041666666666664,,44.208333333333336,42.75,40.583333333333336,57.75,47.083333333333336,43.5,47.5,26.75,20.541666666666668,40.75,24.083333333333332,19.25,19.208333333333332,23.958333333333332,19.708333333333332,28.208333333333332,5.916666666666667,34.666666666666664,46.958333333333336,50.416666666666664,41.208333333333336,38.833333333333336,32.75,48.5,53.666666666666664,53.208333333333336,79.0,67.0,80.0,90.0,93.0,81.0,76.0,65.0,76.0,53.0,62.0,74.0,44.0,35.0,33.0,54.0,57.0,26.0,26.0,58.0,35.0,31.0,43.0,80.0,72.0,79.0,78.0,71.0,69.0,79.0,71.0,51.0,59.0,66.0,41.0
20210104,31.217391304347824,29.608695652173914,31.156521739130437,30.0,32.95652173913044,34.0,31.08695652173913,25.565217391304348,,37.56521739130435,23.391304347826086,25.391304347826086,35.52173913043478,38.73913043478261,36.52173913043478,38.80434782608695,27.652173913043477,20.304347826086957,23.0,17.08695652173913,14.434782608695652,22.23913043478261,17.217391304347824,17.391304347826086,21.108695652173914,8.26086956521739,23.869565217391305,36.17391304347826,31.608695652173914,34.26086956521739,32.30434782608695,27.565217391304348,39.73913043478261,47.30434782608695,37.69565217391305,79.0,67.0,80.0,90.0,93.0,81.0,76.0,65.0,76.0,53.0,62.0,74.0,44.0,35.0,33.0,54.0,57.0,26.0,26.0,58.0,35.0,31.0,43.0,80.0,72.0,79.0,78.0,71.0,69.0,79.0,71.0,51.0,59.0,66.0,41.0
20210105,22.454545454545453,20.545454545454547,25.472727272727273,25.545454545454547,26.818181818181817,25.636363636363637,31.227272727272727,21.636363636363637,,31.227272727272727,22.59090909090909,25.068181818181817,34.09090909090909,24.59090909090909,31.681818181818183,35.56818181818182,16.863636363636363,15.272727272727273,23.681818181818183,10.818181818181818,17.954545454545453,15.318181818181818,10.454545454545455,7.409090909090909,23.818181818181817,3.4545454545454546,28.272727272727273,23.022727272727273,23.227272727272727,30.90909090909091,23.727272727272727,25.954545454545453,46.54545454545455,40.22727272727273,38.18181818181818,79.0,67.0,80.0,90.0,93.0,81.0,76.0,65.0,76.0,53.0,62.0,74.0,44.0,35.0,33.0,54.0,57.0,26.0,26.0,58.0,35.0,31.0,43.0,80.0,72.0,79.0,78.0,71.0,69.0,79.0,71.0,51.0,59.0,66.0,41.0
20210106,12.166666666666666,9.291666666666666,7.979166666666667,9.458333333333334,11.25,11.458333333333334,10.25,6.083333333333333,,12.25,6.083333333333333,4.666666666666667,11.5,12.083333333333334,11.541666666666666,17.375,10.041666666666666,6.708333333333333,5.458333333333333,4.791666666666667,3.9166666666666665,6.958333333333333,1.4166666666666667,1.875,3.875,2.25,11.958333333333334,16.833333333333332,13.375,11.145833333333334,9.583333333333334,8.458333333333334,14.083333333333334,19.583333333333332,14.0,79.0,67.0,80.0,90.0,93.0,81.0,76.0,65.0,76.0,53.0,62.0,74.0,44.0,35.0,33.0,54.0,57.0,26.0,26.0,58.0,35.0,31.0,43.0,80.0,72.0,79.0,78.0,71.0,69.0,79.0,71.0,51.0,59.0,66.0,41.0
20210107,13.136363636363637,11.045454545454545,9.954545454545455,10.5,13.363636363636363,14.727272727272727,10.318181818181818,4.136363636363637,,16.59090909090909,7.681818181818182,5.909090909090909,20.636363636363637,8.568181818181818,12.954545454545455,18.59090909090909,6.318181818181818,5.0,7.5,4.863636363636363,6.204545454545454,4.7727272727272725,2.1136363636363638,3.772727272727273,8.5,2.8863636363636362,9.590909090909092,18.09090909090909,26.181818181818183,16.363636363636363,10.772727272727273,7.9772727272727275,15.0,23.181818181818183,20.59090909090909,79.0,67.0,80.0,90.0,93.0,81.0,76.0,65.0,76.0,53.0,62.0,74.0,44.0,35.0,33.0,54.0,57.0,26.0,26.0,58.0,35.0,31.0,43.0,80.0,72.0,79.0,78.0,71.0,69.0,79.0,71.0,51.0,59.0,66.0,41.0
20210108,12.26086956521739,18.47826086956522,8.608695652173912,21.32608695652174,8.304347826086957,8.021739130434783,8.58695652173913,3.217391304347826,,31.652173913043477,21.217391304347824,12.73913043478261,48.69565217391305,36.0,26.304347826086957,26.652173913043477,10.195652173913043,4.956521739130435,5.260869565217392,6.565217391304348,11.91304347826087,14.043478260869565,1.891304347826087,2.217391304347826,3.282608695652174,3.608695652173913,11.152173913043478,33.91304347826087,34.56521739130435,25.065217391304348,15.173913043478262,17.23913043478261,10.282608695652174,41.78260869565217,8.217391304347826,79.0,67.0,80.0,90.0,93.0,81.0,76.0,65.0,76.0,53.0,62.0,74.0,44.0,35.0,33.0,54.0,57.0,26.0,26.0,58.0,35.0,31.0,43.0,80.0,72.0,79.0,78.0,71.0,69.0,79.0,71.0,51.0,59.0,66.0,41.0
20210109,17.916666666666668,21.0,13.666666666666666,20.958333333333332,14.333333333333334,15.041666666666666,18.333333333333332,5.5,,32.666666666666664,14.958333333333334,12.0,49.833333333333336,29.625,26.458333333333332,29.0,11.708333333333334,6.791666666666667,9.5,7.708333333333333,18.541666666666668,28.1875,5.333333333333333,3.6666666666666665,7.875,3.5,14.0,40.25,16.875,24.875,17.833333333333332,17.166666666666668,24.541666666666668,45.375,16.0,79.0,67.0,80.0,90.0,93.0,81.0,76.0,65.0,76.0,53.0,62.0,74.0,44.0,35.0,33.0,54.0,57.0,26.0,26.0,58.0,35.0,31.0,43.0,80.0,72.0,79.0,78.0,71.0,69.0,79.0,71.0,51.0,59.0,66.0,41.0
20210110,15.5,15.041666666666666,11.875,17.645833333333332,15.875,14.75,18.666666666666668,8.791666666666666,,26.729166666666668,11.166666666666666,10.333333333333334,25.125,36.75,20.041666666666668,22.4375,16.125,8.083333333333334,13.0,10.041666666666666,16.666666666666668,22.5,5.125,4.625,10.541666666666666,3.9583333333333335,20.8125,21.75,19.354166666666668,24.333333333333332,16.041666666666668,10.125,23.854166666666668,35.958333333333336,15.833333333333334,79.0,67.0,80.0,90.0,93.0,81.0,76.0,65.0,76.0,53.0,62.0,74.0,44.0,35.0,33.0,54.0,57.0,26.0,26.0,58.0,35.0,31.0,43.0,80.0,72.0,79.0,78.0,71.0,69.0,79.0,71.0,51.0,59.0,66.0,41.0
