month,东四,天坛,官园,万寿西宫,奥体中心,农展馆,万柳,北部新区,植物园,丰台花园,云岗,古城,房山,大兴,亦庄,通州,顺义,昌平,门头沟,平谷,怀柔,密云,延庆,定陵,八达岭,密云水库,东高村,永乐店,榆垡,琉璃河,前门,永定门内,西直门北,南三环,东四环,东城东四,东城天坛,西城官园,西城万寿西宫,朝阳奥体中心,朝阳农展馆,海淀万柳,海淀四季青,丰台小屯,丰台云岗,石景山古城,石景山老山,昌平镇,昌平南邵,定陵(对照点),延庆夏都,延庆石河营,怀柔镇,怀柔新城,密云镇,密云新城,平谷镇,平谷新城,顺义新城,顺义北小营,通州永顺,通州东关,大兴黄村,大兴旧宫,亦庄开发区,京东南区域点,门头沟双峪,门头沟三家店,房山良乡,房山燕山
202101,23.4189852700491,25.399345335515548,23.390343698854338,28.21276595744681,26.022094926350245,24.482815057283144,29.011456628477905,23.00572831423895,,33.90916530278233,26.581833060556466,25.625204582651392,37.47299509001637,34.08510638297872,29.306055646481177,35.40834697217676,21.058919803600656,18.259410801963995,28.73731587561375,16.631751227495908,18.596563011456627,20.23567921440262,15.89443535188216,16.28559738134206,20.585106382978722,9.506546644844518,22.323240589198036,28.193944353518823,29.112111292962357,25.532733224222586,27.19885433715221,23.326513911620296,28.878887070376432,42.98036006546645,33.88216039279869,67.89198036006546,60.6342062193126,69.93126022913258,78.1759410801964,79.40261865793781,70.4770867430442,68.26022913256956,57.52045826513912,67.72995090016367,49.04991816693944,55.301963993453356,66.48936170212765,40.18657937806874,32.9050736497545,30.564648117839607,46.07774140752864,48.86088379705401,26.42798690671031,24.626022913256957,49.15875613747954,31.646481178396073,29.775777414075286,38.18657937806874,67.06955810147299,59.245499181669395,69.11456628477904,67.91080196399345,64.93780687397708,61.256137479541735,69.83469721767594,65.29950900163666,46.785597381342065,52.65711947626841,61.43698854337152,39.288052373158756
202102,16.0,17.0,16.0,20.0,19.0,13.0,23.0,24.0,,25.0,32.0,26.0,29.0,25.0,18.0,30.0,11.0,18.0,40.0,16.0,15.0,13.0,24.0,23.0,27.0,12.0,13.0,14.0,21.0,19.0,19.0,16.0,9.0,33.0,32.0,28.24537037037037,30.17476851851852,29.53935185185185,31.98263888888889,32.598379629629626,31.175925925925927,36.129629629629626,26.79398148148148,31.97685185185185,20.03587962962963,23.24537037037037,27.895833333333332,19.48726851851852,17.34027777777778,11.827546296296296,14.278935185185185,15.636574074074074,20.92824074074074,14.277777777777779,20.98148148148148,15.190972222222221,18.95138888888889,16.90625,27.03935185185185,22.060185185185187,30.828703703703702,29.52777777777778,34.217592592592595,27.17361111111111,32.467592592592595,30.86689814814815,22.689814814814813,20.216435185185187,35.113425925925924,19.41550925925926
202103,16.0,17.0,16.0,20.0,19.0,13.0,23.0,24.0,,25.0,32.0,26.0,29.0,25.0,18.0,30.0,11.0,18.0,40.0,16.0,15.0,13.0,24.0,23.0,27.0,12.0,13.0,14.0,21.0,19.0,19.0,16.0,9.0,33.0,32.0,37.40793010752688,36.74260752688172,39.20900537634409,42.20161290322581,43.98118279569893,48.166666666666664,44.075940860215056,34.605510752688176,46.689516129032256,33.313844086021504,35.410618279569896,40.64784946236559,32.813844086021504,26.593413978494624,23.321236559139784,25.391129032258064,26.64516129032258,30.516801075268816,25.124327956989248,30.905913978494624,24.544354838709676,25.723118279569892,24.473790322580644,40.090725806451616,35.79502688172043,42.975806451612904,42.33467741935484,43.77150537634409,36.347446236559136,40.575268817204304,39.689516129032256,34.045698924731184,30.386424731182796,42.19892473118279,26.08266129032258
202104,16.0,17.0,16.0,20.0,19.0,13.0,23.0,24.0,,25.0,32.0,26.0,29.0,25.0,18.0,30.0,11.0,18.0,40.0,16.0,15.0,13.0,24.0,23.0,27.0,12.0,13.0,14.0,21.0,19.0,19.0,16.0,9.0,33.0,32.0,27.891098484848484,28.9375,26.408143939393938,29.556818181818183,35.44981060606061,34.709280303030305,37.40909090909091,26.001893939393938,33.64204545454545,24.237689393939394,29.181818181818183,31.136363636363637,23.882575757575758,21.504734848484848,13.627840909090908,19.925189393939394,22.193181818181817,17.540719696969695,14.483901515151516,26.390151515151516,19.447916666666668,20.695075757575758,20.115530303030305,30.845643939393938,27.142045454545453,34.40909090909091,34.16761363636363,32.84280303030303,27.84469696969697,30.428030303030305,32.30776515151515,27.922348484848484,24.581439393939394,34.05681818181818,16.904356060606062
202105,16.0,17.0,16.0,20.0,19.0,13.0,23.0,24.0,,25.0,32.0,26.0,29.0,25.0,18.0,30.0,11.0,18.0,40.0,16.0,15.0,13.0,24.0,23.0,27.0,12.0,13.0,14.0,21.0,19.0,19.0,16.0,9.0,33.0,32.0,21.66487213997308,23.082099596231494,22.551816958277254,25.2092866756393,29.73351278600269,28.499327052489907,31.906460296096906,20.32907133243607,24.45827725437416,17.411170928667563,24.555181695827727,24.6393001345895,18.514804845222073,16.04979811574697,10.141318977119784,16.06393001345895,17.81763122476447,14.38963660834455,12.0,21.356662180349932,13.769851951547778,14.656796769851951,13.917900403768506,21.63593539703903,17.28869448183042,25.298115746971735,24.802153432032302,24.58479138627187,19.906460296096906,21.139973082099598,22.42328398384926,22.764468371467025,19.289367429340512,22.940107671601616,13.331763122476447
202106,16.0,17.0,16.0,20.0,19.0,13.0,23.0,24.0,,25.0,32.0,26.0,29.0,25.0,18.0,30.0,11.0,18.0,40.0,16.0,15.0,13.0,24.0,23.0,27.0,12.0,13.0,14.0,21.0,19.0,19.0,16.0,9.0,33.0,32.0,22.570155902004455,22.177060133630288,20.793986636971045,21.080178173719375,28.34521158129176,22.501113585746104,29.425389755011135,17.779510022271715,18.50890868596882,14.639198218262806,22.43541202672606,21.393095768374163,19.07683741648107,15.14142538975501,9.759465478841872,15.005567928730512,15.951002227171493,12.267260579064589,11.521158129175946,18.580178173719375,11.134743875278396,11.075723830734967,11.182628062360802,17.94432071269488,16.65812917594655,24.030066815144767,21.180400890868597,23.00445434298441,19.319599109131403,18.3630289532294,21.071269487750556,18.816258351893097,18.989977728285076,24.44543429844098,11.699331848552339
202107,16.0,17.0,16.0,20.0,19.0,13.0,23.0,24.0,,25.0,32.0,26.0,29.0,25.0,18.0,30.0,11.0,18.0,40.0,16.0,15.0,13.0,24.0,23.0,27.0,12.0,13.0,14.0,21.0,19.0,19.0,16.0,9.0,33.0,32.0,20.294354838709676,18.331317204301076,18.760080645161292,18.028897849462364,19.834005376344088,17.993279569892472,25.06048387096774,13.77755376344086,13.862903225806452,10.717069892473118,20.77217741935484,16.134408602150536,13.573252688172044,10.586693548387096,5.396505376344086,8.898521505376344,10.42741935483871,10.499327956989248,6.81989247311828,10.768145161290322,6.01747311827957,4.557795698924731,5.967069892473118,11.717069892473118,10.413306451612904,18.580645161290324,16.768145161290324,17.493951612903224,15.489247311827956,12.621639784946236,15.094086021505376,13.476478494623656,14.35752688172043,18.5,8.13239247311828
202108,16.0,17.0,16.0,20.0,19.0,13.0,23.0,24.0,,25.0,32.0,26.0,29.0,25.0,18.0,30.0,11.0,18.0,40.0,16.0,15.0,13.0,24.0,23.0,27.0,12.0,13.0,14.0,21.0,19.0,19.0,16.0,9.0,33.0,32.0,20.836622807017545,18.582236842105264,19.74671052631579,20.62061403508772,19.390350877192983,17.56469298245614,25.843201754385966,14.216008771929825,16.850877192982455,11.152412280701755,18.87280701754386,9.12938596491228,16.221491228070175,9.739035087719298,7.356359649122807,9.49671052631579,11.485745614035087,10.18969298245614,8.080043859649123,12.720394736842104,7.4923245614035086,5.110745614035087,6.808114035087719,16.842105263157894,7.984649122807017,21.271929824561404,18.86842105263158,16.782894736842106,16.36513157894737,16.390350877192983,13.606359649122806,10.56688596491228,15.133771929824562,17.81469298245614,7.421052631578948
202109,16.0,17.0,16.0,20.0,19.0,13.0,23.0,24.0,,25.0,32.0,26.0,29.0,25.0,18.0,30.0,11.0,18.0,40.0,16.0,15.0,13.0,24.0,23.0,27.0,12.0,13.0,14.0,21.0,19.0,19.0,16.0,9.0,33.0,32.0,29.743055555555557,26.053472222222222,27.299305555555556,29.680555555555557,29.499305555555555,26.260416666666668,33.78194444444444,14.823611111111111,22.12013888888889,16.46736111111111,27.85763888888889,23.65763888888889,17.633333333333333,13.85138888888889,8.047916666666667,12.731944444444444,13.28125,13.233333333333333,9.71111111111111,18.56736111111111,7.795138888888889,7.654861111111111,8.651388888888889,20.60972222222222,10.922222222222222,29.311805555555555,27.470833333333335,26.20347222222222,21.672916666666666,29.93402777777778,17.122222222222224,20.018055555555556,19.30625,23.318055555555556,11.713888888888889
202110,16.0,17.0,16.0,20.0,19.0,13.0,23.0,24.0,,25.0,32.0,26.0,29.0,25.0,18.0,30.0,11.0,18.0,40.0,16.0,15.0,13.0,24.0,23.0,27.0,12.0,13.0,14.0,21.0,19.0,19.0,16.0,9.0,33.0,32.0,37.32520325203252,35.71273712737128,39.789972899728994,45.57249322493225,38.953252032520325,36.04810298102981,42.22560975609756,22.892276422764226,36.60230352303523,26.34010840108401,33.18970189701897,34.802845528455286,23.68428184281843,22.851626016260163,14.03048780487805,20.435636856368564,18.65379403794038,17.69850948509485,13.340108401084011,27.59281842818428,18.627371273712736,19.576558265582655,19.531165311653115,34.486449864498645,25.375567126457778,43.768970189701896,41.40514905149052,41.72560975609756,33.642276422764226,45.230352303523034,33.32181571815718,26.679539295392953,25.468834688346885,35.91192411924119,16.371951219512194
