date,东四,天坛,官园,万寿西宫,奥体中心,农展馆,万柳,北部新区,植物园,丰台花园,云岗,古城,房山,大兴,亦庄,通州,顺义,昌平,门头沟,平谷,怀柔,密云,延庆,定陵,八达岭,密云水库,东高村,永乐店,榆垡,琉璃河,前门,永定门内,西直门北,南三环,东四环,东城东四,东城天坛,西城官园,西城万寿西宫,朝阳奥体中心,朝阳农展馆,海淀万柳,海淀四季青,丰台小屯,丰台云岗,石景山古城,石景山老山,昌平镇,昌平南邵,定陵(对照点),延庆夏都,延庆石河营,怀柔镇,怀柔新城,密云镇,密云新城,平谷镇,平谷新城,顺义新城,顺义北小营,通州永顺,通州东关,大兴黄村,大兴旧宫,亦庄开发区,京东南区域点,门头沟双峪,门头沟三家店,房山良乡,房山燕山
20210101,7.166666666666667,5.833333333333333,8.416666666666666,6.958333333333333,10.791666666666666,7.291666666666667,8.208333333333334,9.541666666666666,,7.25,16.333333333333332,8.041666666666666,11.5,4.041666666666667,6.958333333333333,2.6666666666666665,16.541666666666668,15.958333333333334,16.625,20.208333333333332,24.541666666666668,14.125,28.541666666666668,22.916666666666668,17.916666666666668,35.875,12.083333333333334,9.25,7.541666666666667,8.458333333333334,8.083333333333334,27.375,10.333333333333334,4.041666666666667,3.875,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,18.0,2.0,2.0,19.0,6.0,26.0,17.0,7.0,35.0,30.0,2.0,25.0,27.0,4.0,4.0,3.0,3.0,2.0,2.0,2.0,2.0,3.0,11.0,2.0,7.0,21.0
20210102,10.173913043478262,9.956521739130435,7.913043478260869,8.91304347826087,11.695652173913043,11.73913043478261,9.956521739130435,11.043478260869565,,8.521739130434783,12.91304347826087,14.695652173913043,7.608695652173913,7.695652173913044,7.739130434782608,2.260869565217391,18.91304347826087,18.043478260869566,14.521739130434783,22.565217391304348,19.608695652173914,16.304347826086957,39.869565217391305,22.304347826086957,29.0,34.04347826086956,16.217391304347824,11.08695652173913,9.91304347826087,5.217391304347826,11.73913043478261,30.47826086956522,8.652173913043478,7.869565217391305,4.869565217391305,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,18.0,2.0,2.0,19.0,6.0,26.0,17.0,7.0,35.0,30.0,2.0,25.0,27.0,4.0,4.0,3.0,3.0,2.0,2.0,2.0,2.0,3.0,11.0,2.0,7.0,21.0
20210103,25.541666666666668,27.833333333333332,23.916666666666668,26.833333333333332,28.666666666666668,26.125,19.875,17.333333333333332,,23.583333333333332,20.583333333333332,19.0,11.833333333333334,16.5,18.75,5.583333333333333,40.708333333333336,39.541666666666664,21.0,36.125,43.958333333333336,41.5,38.25,43.291666666666664,27.833333333333332,48.291666666666664,25.75,14.75,13.25,9.833333333333334,29.75,49.75,23.583333333333332,20.916666666666668,9.541666666666666,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,18.0,2.0,2.0,19.0,6.0,26.0,17.0,7.0,35.0,30.0,2.0,25.0,27.0,4.0,4.0,3.0,3.0,2.0,2.0,2.0,2.0,3.0,11.0,2.0,7.0,21.0
20210104,32.78260869565217,36.08695652173913,33.92173913043479,37.130434782608695,35.56521739130435,37.130434782608695,35.08695652173913,36.869565217391305,,31.043478260869566,41.65217391304348,34.17391304347826,37.43478260869565,29.82608695652174,32.08695652173913,14.26086956521739,36.26086956521739,38.34782608695652,38.130434782608695,41.34782608695652,46.26086956521739,32.45652173913044,44.47826086956522,43.34782608695652,35.130434782608695,43.04347826086956,39.43478260869565,29.782608695652176,29.782608695652176,13.91304347826087,38.73913043478261,55.34782608695652,33.82608695652174,30.304347826086957,24.130434782608695,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,18.0,2.0,2.0,19.0,6.0,26.0,17.0,7.0,35.0,30.0,2.0,25.0,27.0,4.0,4.0,3.0,3.0,2.0,2.0,2.0,2.0,3.0,11.0,2.0,7.0,21.0
20210105,38.45454545454545,43.81818181818182,39.627272727272725,38.90909090909091,38.5,42.02272727272727,33.59090909090909,43.59090909090909,,33.18181818181818,41.45454545454545,34.54545454545455,38.27272727272727,37.72727272727273,33.0,16.318181818181817,49.59090909090909,43.95454545454545,39.0,53.27272727272727,49.54545454545455,43.95454545454545,54.95454545454545,53.13636363636363,31.863636363636363,51.22727272727273,38.09090909090909,45.45454545454545,40.68181818181818,14.5,45.27272727272727,47.20454545454545,32.86363636363637,30.772727272727273,22.454545454545453,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,18.0,2.0,2.0,19.0,6.0,26.0,17.0,7.0,35.0,30.0,2.0,25.0,27.0,4.0,4.0,3.0,3.0,2.0,2.0,2.0,2.0,3.0,11.0,2.0,7.0,21.0
20210106,46.583333333333336,51.125,47.729166666666664,48.458333333333336,47.458333333333336,53.0625,48.375,50.208333333333336,,44.916666666666664,55.75,48.333333333333336,56.104166666666664,45.291666666666664,47.416666666666664,23.708333333333332,47.375,51.583333333333336,52.125,53.0,56.833333333333336,44.916666666666664,61.041666666666664,57.291666666666664,53.875,49.25,62.25,44.541666666666664,44.916666666666664,38.895833333333336,52.458333333333336,33.625,49.395833333333336,43.0,36.625,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,18.0,2.0,2.0,19.0,6.0,26.0,17.0,7.0,35.0,30.0,2.0,25.0,27.0,4.0,4.0,3.0,3.0,2.0,2.0,2.0,2.0,3.0,11.0,2.0,7.0,21.0
20210107,43.45454545454545,49.40909090909091,47.09090909090909,47.31818181818182,43.54545454545455,49.04545454545455,51.95454545454545,54.86363636363637,,41.86363636363637,51.68181818181818,48.36363636363637,44.95454545454545,50.77272727272727,45.36363636363637,16.59090909090909,51.5,54.45454545454545,50.90909090909091,56.68181818181818,54.77272727272727,48.63636363636363,63.04545454545455,55.34090909090909,53.18181818181818,51.13636363636363,62.5,41.0,32.59090909090909,22.772727272727273,51.18181818181818,29.181818181818183,45.63636363636363,39.90909090909091,27.136363636363637,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,18.0,2.0,2.0,19.0,6.0,26.0,17.0,7.0,35.0,30.0,2.0,25.0,27.0,4.0,4.0,3.0,3.0,2.0,2.0,2.0,2.0,3.0,11.0,2.0,7.0,21.0
20210108,51.82608695652174,47.34782608695652,52.56521739130435,42.391304347826086,57.47826086956522,63.0,57.608695652173914,61.30434782608695,,35.34782608695652,42.82608695652174,44.30434782608695,24.434782608695652,29.565217391304348,37.56521739130435,19.847826086956523,51.95652173913044,59.608695652173914,61.34782608695652,58.04347826086956,54.69565217391305,44.82608695652174,67.21739130434783,63.78260869565217,59.34782608695652,53.0,63.97826086956522,31.304347826086957,23.73913043478261,15.608695652173912,53.391304347826086,33.23913043478261,57.130434782608695,30.391304347826086,47.608695652173914,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,18.0,2.0,2.0,19.0,6.0,26.0,17.0,7.0,35.0,30.0,2.0,25.0,27.0,4.0,4.0,3.0,3.0,2.0,2.0,2.0,2.0,3.0,11.0,2.0,7.0,21.0
20210109,46.625,47.708333333333336,48.416666666666664,45.666666666666664,55.25,56.458333333333336,49.041666666666664,63.145833333333336,,38.833333333333336,55.833333333333336,49.041666666666664,28.458333333333332,39.583333333333336,39.458333333333336,19.291666666666668,54.041666666666664,57.791666666666664,58.625,59.375,50.25,31.958333333333332,68.875,62.708333333333336,54.958333333333336,52.875,57.333333333333336,27.083333333333332,22.708333333333332,23.666666666666668,53.958333333333336,32.791666666666664,49.0,29.416666666666668,45.583333333333336,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,18.0,2.0,2.0,19.0,6.0,26.0,17.0,7.0,35.0,30.0,2.0,25.0,27.0,4.0,4.0,3.0,3.0,2.0,2.0,2.0,2.0,3.0,11.0,2.0,7.0,21.0
20210110,50.416666666666664,55.208333333333336,52.5,50.8125,54.125,58.625,49.458333333333336,56.763888888888886,,46.145833333333336,62.208333333333336,53.208333333333336,57.229166666666664,42.291666666666664,49.5,26.291666666666668,54.666666666666664,56.791666666666664,58.0,57.333333333333336,53.166666666666664,41.583333333333336,68.08333333333333,63.083333333333336,49.833333333333336,55.208333333333336,50.895833333333336,48.0,47.791666666666664,25.375,56.833333333333336,41.041666666666664,46.75,38.958333333333336,45.041666666666664,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,18.0,2.0,2.0,19.0,6.0,26.0,17.0,7.0,35.0,30.0,2.0,25.0,27.0,4.0,4.0,3.0,3.0,2.0,2.0,2.0,2.0,3.0,11.0,2.0,7.0,21.0
20210111,39.75,44.25,42.666666666666664,38.333333333333336,42.666666666666664,45.375,37.208333333333336,45.44444444444445,,32.25,51.083333333333336,33.333333333333336,39.875,36.0,37.75,16.041666666666668,40.416666666666664,47.666666666666664,38.916666666666664,45.25,51.75,30.0,63.125,55.416666666666664,37.708333333333336,52.708333333333336,42.708333333333336,32.125,29.666666666666668,20.958333333333332,46.708333333333336,31.5,37.041666666666664,29.541666666666668,35.041666666666664,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,18.0,2.0,2.0,19.0,6.0,26.0,17.0,7.0,35.0,30.0,2.0,25.0,27.0,4.0,4.0,3.0,3.0,2.0,2.0,2.0,2.0,3.0,11.0,2.0,7.0,21.0
20210112,9.666666666666666,7.666666666666667,9.0,8.333333333333334,10.708333333333334,9.125,7.958333333333333,9.541666666666666,,7.333333333333333,18.875,11.25,10.5625,6.708333333333333,7.541666666666667,2.1666666666666665,14.125,9.333333333333334,23.25,21.125,21.041666666666668,15.166666666666666,37.625,24.375,28.125,29.916666666666668,11.541666666666666,11.375,20.291666666666668,12.916666666666666,10.083333333333334,3.6666666666666665,7.229166666666667,5.583333333333333,4.875,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,18.0,2.0,2.0,19.0,6.0,26.0,17.0,7.0,35.0,30.0,2.0,25.0,27.0,4.0,4.0,3.0,3.0,2.0,2.0,2.0,2.0,3.0,11.0,2.0,7.0,21.0
20210113,38.208333333333336,39.916666666666664,38.875,39.041666666666664,42.770833333333336,44.666666666666664,37.75,41.916666666666664,,38.583333333333336,46.875,35.625,46.75,32.25,37.625,15.541666666666666,29.666666666666668,45.583333333333336,37.625,32.375,31.416666666666668,27.666666666666668,60.541666666666664,53.416666666666664,53.166666666666664,37.3125,28.041666666666668,36.333333333333336,28.583333333333332,12.375,39.625,30.75,33.791666666666664,29.458333333333332,30.125,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,18.0,2.0,2.0,19.0,6.0,26.0,17.0,7.0,35.0,30.0,2.0,25.0,27.0,4.0,4.0,3.0,3.0,2.0,2.0,2.0,2.0,3.0,11.0,2.0,7.0,21.0
20210114,21.4375,22.541666666666668,20.770833333333332,19.666666666666668,24.458333333333332,25.75,20.541666666666668,15.208333333333334,,18.875,17.395833333333332,16.583333333333332,19.3125,14.333333333333334,18.416666666666668,4.291666666666667,32.458333333333336,26.458333333333332,15.958333333333334,43.166666666666664,38.458333333333336,16.458333333333332,31.1875,36.520833333333336,20.041666666666668,33.291666666666664,24.375,12.916666666666666,14.083333333333334,12.6875,21.25,12.458333333333334,16.520833333333332,13.625,9.375,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,18.0,2.0,2.0,19.0,6.0,26.0,17.0,7.0,35.0,30.0,2.0,25.0,27.0,4.0,4.0,3.0,3.0,2.0,2.0,2.0,2.0,3.0,11.0,2.0,7.0,21.0
20210115,46.833333333333336,47.354166666666664,43.416666666666664,46.0,46.541666666666664,52.375,43.375,49.458333333333336,,44.75,53.833333333333336,47.916666666666664,53.333333333333336,41.333333333333336,42.166666666666664,20.5,48.479166666666664,52.375,55.4375,57.041666666666664,45.958333333333336,48.958333333333336,54.083333333333336,64.79166666666667,43.708333333333336,51.416666666666664,54.291666666666664,40.166666666666664,41.0,26.541666666666668,48.833333333333336,36.958333333333336,42.625,37.833333333333336,29.895833333333332,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,18.0,2.0,2.0,19.0,6.0,26.0,17.0,7.0,35.0,30.0,2.0,25.0,27.0,4.0,4.0,3.0,3.0,2.0,2.0,2.0,2.0,3.0,11.0,2.0,7.0,21.0
20210116,54.13636363636363,57.68181818181818,52.68181818181818,52.95454545454545,54.72727272727273,61.0,50.04545454545455,52.22727272727273,,50.40909090909091,60.54545454545455,49.31818181818182,52.27272727272727,46.68181818181818,49.72727272727273,23.045454545454547,55.72727272727273,59.13636363636363,59.86363636363637,60.95454545454545,58.54545454545455,56.90909090909091,58.0,63.0,50.40909090909091,56.40909090909091,53.63636363636363,47.45454545454545,50.04545454545455,34.5,57.77272727272727,52.29545454545455,51.38636363636363,41.36363636363637,31.272727272727273,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,18.0,2.0,2.0,19.0,6.0,26.0,17.0,7.0,35.0,30.0,2.0,25.0,27.0,4.0,4.0,3.0,3.0,2.0,2.0,2.0,2.0,3.0,11.0,2.0,7.0,21.0
20210117,38.583333333333336,39.416666666666664,36.041666666666664,31.916666666666668,40.5,45.583333333333336,34.625,43.666666666666664,,30.666666666666668,45.25,35.416666666666664,35.416666666666664,30.041666666666668,39.083333333333336,10.041666666666666,36.041666666666664,43.833333333333336,39.875,44.958333333333336,40.291666666666664,33.958333333333336,66.625,54.583333333333336,44.791666666666664,44.958333333333336,28.333333333333332,35.958333333333336,32.458333333333336,24.625,39.416666666666664,31.958333333333332,35.791666666666664,21.208333333333332,29.166666666666668,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,18.0,2.0,2.0,19.0,6.0,26.0,17.0,7.0,35.0,30.0,2.0,25.0,27.0,4.0,4.0,3.0,3.0,2.0,2.0,2.0,2.0,3.0,11.0,2.0,7.0,21.0
20210118,39.82608695652174,31.391304347826086,31.217391304347824,26.82608695652174,41.43478260869565,45.34782608695652,29.52173913043478,43.47826086956522,,23.47826086956522,41.02173913043478,25.47826086956522,27.0,19.304347826086957,26.304347826086957,8.826086956521738,41.73913043478261,44.56521739130435,29.304347826086957,45.608695652173914,47.69565217391305,40.02173913043478,65.21739130434783,58.0,48.80434782608695,49.391304347826086,39.869565217391305,31.73913043478261,25.130434782608695,29.26086956521739,34.78260869565217,18.217391304347824,26.58695652173913,15.434782608695652,23.565217391304348,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,18.0,2.0,2.0,19.0,6.0,26.0,17.0,7.0,35.0,30.0,2.0,25.0,27.0,4.0,4.0,3.0,3.0,2.0,2.0,2.0,2.0,3.0,11.0,2.0,7.0,21.0
20210123,42.0,45.0,41.0,41.0,43.0,49.0,39.0,34.0,,38.0,25.0,27.0,39.0,33.0,44.0,12.0,53.0,39.0,19.0,47.0,50.0,48.0,36.0,38.0,30.0,43.0,56.0,50.0,37.0,34.0,45.0,27.0,41.0,29.0,28.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,18.0,2.0,2.0,19.0,6.0,26.0,17.0,7.0,35.0,30.0,2.0,25.0,27.0,4.0,4.0,3.0,3.0,2.0,2.0,2.0,2.0,3.0,11.0,2.0,7.0,21.0
20210124,42.0,45.0,41.0,41.0,43.0,49.0,39.0,34.0,,38.0,25.0,27.0,39.0,33.0,44.0,12.0,53.0,39.0,19.0,47.0,50.0,48.0,36.0,38.0,30.0,43.0,56.0,50.0,37.0,34.0,45.0,27.0,41.0,29.0,28.0,18.375,16.9375,12.333333333333334,16.041666666666668,12.416666666666666,16.25,8.833333333333334,6.625,10.25,20.583333333333332,9.666666666666666,11.041666666666666,23.416666666666668,10.708333333333334,28.0,21.125,19.25,36.958333333333336,40.541666666666664,22.291666666666668,42.708333333333336,28.208333333333332,16.833333333333332,28.041666666666668,30.625,14.25,10.625,13.375,17.583333333333332,17.916666666666668,8.666666666666666,14.833333333333334,14.583333333333334,14.291666666666666,29.708333333333332
20210125,42.0,45.0,41.0,41.0,43.0,49.0,39.0,34.0,,38.0,25.0,27.0,39.0,33.0,44.0,12.0,53.0,39.0,19.0,47.0,50.0,48.0,36.0,38.0,30.0,43.0,56.0,50.0,37.0,34.0,45.0,27.0,41.0,29.0,28.0,3.217391304347826,2.739130434782609,3.5652173913043477,2.1739130434782608,5.565217391304348,2.5652173913043477,4.086956521739131,2.347826086956522,2.5217391304347827,6.739130434782608,3.260869565217391,3.652173913043478,17.652173913043477,9.73913043478261,22.91304347826087,29.304347826086957,26.043478260869566,25.347826086956523,28.130434782608695,12.347826086956522,22.130434782608695,18.695652173913043,10.695652173913043,11.08695652173913,11.26086956521739,4.782608695652174,2.1739130434782608,4.695652173913044,4.521739130434782,3.4347826086956523,3.652173913043478,5.6521739130434785,5.043478260869565,4.304347826086956,13.91304347826087
20210126,42.0,45.0,41.0,41.0,43.0,49.0,39.0,34.0,,38.0,25.0,27.0,39.0,33.0,44.0,12.0,53.0,39.0,19.0,47.0,50.0,48.0,36.0,38.0,30.0,43.0,56.0,50.0,37.0,34.0,45.0,27.0,41.0,29.0,28.0,28.458333333333332,15.270833333333334,29.833333333333332,14.791666666666666,30.541666666666668,30.416666666666668,29.416666666666668,36.083333333333336,10.958333333333334,32.25,31.666666666666668,26.458333333333332,37.875,29.875,51.166666666666664,43.666666666666664,41.375,27.166666666666668,31.833333333333332,35.583333333333336,42.666666666666664,34.041666666666664,28.375,30.625,30.125,21.291666666666668,19.041666666666668,9.166666666666666,10.166666666666666,11.958333333333334,9.166666666666666,42.541666666666664,42.75,11.854166666666666,54.625
20210127,42.0,45.0,41.0,41.0,43.0,49.0,39.0,34.0,,38.0,25.0,27.0,39.0,33.0,44.0,12.0,53.0,39.0,19.0,47.0,50.0,48.0,36.0,38.0,30.0,43.0,56.0,50.0,37.0,34.0,45.0,27.0,41.0,29.0,28.0,28.363636363636363,24.772727272727273,27.681818181818183,29.772727272727273,29.15909090909091,23.636363636363637,23.636363636363637,25.727272727272727,27.681818181818183,42.5,30.545454545454547,30.636363636363637,36.95454545454545,25.545454545454547,47.63636363636363,37.95454545454545,32.95454545454545,44.13636363636363,47.09090909090909,33.63636363636363,55.59090909090909,41.77272727272727,23.363636363636363,44.31818181818182,42.86363636363637,17.818181818181817,17.59090909090909,18.363636363636363,18.09090909090909,17.136363636363637,13.931818181818182,44.72727272727273,49.68181818181818,36.27272727272727,53.5
20210128,42.0,45.0,41.0,41.0,43.0,49.0,39.0,34.0,,38.0,25.0,27.0,39.0,33.0,44.0,12.0,53.0,39.0,19.0,47.0,50.0,48.0,36.0,38.0,30.0,43.0,56.0,50.0,37.0,34.0,45.0,27.0,41.0,29.0,28.0,59.625,64.79166666666667,59.083333333333336,58.708333333333336,61.958333333333336,72.20833333333333,59.708333333333336,59.333333333333336,59.958333333333336,67.41666666666667,58.25,61.625,60.375,66.83333333333333,68.85416666666667,72.95833333333333,73.64583333333333,70.0,74.16666666666667,64.91666666666667,70.45833333333333,68.54166666666667,64.75,64.5,65.08333333333333,55.916666666666664,55.958333333333336,56.291666666666664,55.604166666666664,60.75,58.25,65.04166666666667,66.20833333333333,70.91666666666667,71.1875
20210129,42.0,45.0,41.0,41.0,43.0,49.0,39.0,34.0,,38.0,25.0,27.0,39.0,33.0,44.0,12.0,53.0,39.0,19.0,47.0,50.0,48.0,36.0,38.0,30.0,43.0,56.0,50.0,37.0,34.0,45.0,27.0,41.0,29.0,28.0,20.875,23.833333333333332,20.395833333333332,19.791666666666668,23.666666666666668,30.125,16.833333333333332,13.791666666666666,18.041666666666668,26.833333333333332,19.208333333333332,20.625,31.0,22.708333333333332,36.583333333333336,51.708333333333336,50.208333333333336,39.875,44.958333333333336,26.875,39.333333333333336,39.708333333333336,26.708333333333332,26.458333333333332,25.0,21.916666666666668,19.5,22.291666666666668,21.291666666666668,24.625,15.833333333333334,24.875,21.333333333333332,25.958333333333332,33.833333333333336
20210130,42.0,45.0,41.0,41.0,43.0,49.0,39.0,34.0,,38.0,25.0,27.0,39.0,33.0,44.0,12.0,53.0,39.0,19.0,47.0,50.0,48.0,36.0,38.0,30.0,43.0,56.0,50.0,37.0,34.0,45.0,27.0,41.0,29.0,28.0,14.75,14.333333333333334,13.791666666666666,12.5,16.0,16.458333333333332,12.5,8.708333333333334,10.666666666666666,15.916666666666666,14.791666666666666,13.541666666666666,13.458333333333334,13.791666666666666,18.208333333333332,47.0,48.541666666666664,22.583333333333332,26.083333333333332,17.666666666666668,24.25,20.916666666666668,19.833333333333332,8.979166666666666,20.208333333333332,18.708333333333332,15.041666666666666,12.666666666666666,14.75,13.875,17.666666666666668,12.416666666666666,14.625,17.125,28.333333333333332
20210131,42.0,45.0,41.0,41.0,43.0,49.0,39.0,34.0,,38.0,25.0,27.0,39.0,33.0,44.0,12.0,53.0,39.0,19.0,47.0,50.0,48.0,36.0,38.0,30.0,43.0,56.0,50.0,37.0,34.0,45.0,27.0,41.0,29.0,28.0,25.304347826086957,28.434782608695652,24.347826086956523,27.695652173913043,25.130434782608695,31.82608695652174,22.130434782608695,18.434782608695652,22.565217391304348,28.391304347826086,29.217391304347824,28.26086956521739,35.608695652173914,33.52173913043478,38.56521739130435,36.17391304347826,36.869565217391305,32.78260869565217,37.17391304347826,27.956521739130434,32.52173913043478,22.956521739130434,22.391304347826086,24.565217391304348,25.956521739130434,24.391304347826086,19.52173913043478,27.695652173913043,28.304347826086957,28.391304347826086,20.565217391304348,18.956521739130434,21.043478260869566,29.82608695652174,33.0
20210201,42.0,45.0,41.0,41.0,43.0,49.0,39.0,34.0,,38.0,25.0,27.0,39.0,33.0,44.0,12.0,53.0,39.0,19.0,47.0,50.0,48.0,36.0,38.0,30.0,43.0,56.0,50.0,37.0,34.0,45.0,27.0,41.0,29.0,28.0,52.625,56.333333333333336,51.0,55.666666666666664,52.625,58.625,54.208333333333336,57.083333333333336,56.041666666666664,64.08333333333333,55.125,60.958333333333336,52.208333333333336,59.708333333333336,57.916666666666664,68.625,68.125,54.458333333333336,58.5,52.083333333333336,57.125,48.541666666666664,50.666666666666664,45.541666666666664,46.125,40.458333333333336,42.041666666666664,52.208333333333336,51.708333333333336,53.75,51.666666666666664,63.166666666666664,62.0,64.0,68.875
20210202,42.0,45.0,41.0,41.0,43.0,49.0,39.0,34.0,,38.0,25.0,27.0,39.0,33.0,44.0,12.0,53.0,39.0,19.0,47.0,50.0,48.0,36.0,38.0,30.0,43.0,56.0,50.0,37.0,34.0,45.0,27.0,41.0,29.0,28.0,43.145833333333336,47.458333333333336,42.333333333333336,44.416666666666664,44.0,51.833333333333336,41.583333333333336,36.875,42.083333333333336,53.375,43.833333333333336,46.875,52.208333333333336,52.125,56.708333333333336,57.833333333333336,55.291666666666664,45.875,52.5,44.208333333333336,53.083333333333336,53.541666666666664,47.166666666666664,45.791666666666664,48.416666666666664,43.708333333333336,42.833333333333336,44.541666666666664,45.958333333333336,47.791666666666664,45.416666666666664,48.166666666666664,48.354166666666664,48.5,54.833333333333336
20210203,42.0,45.0,41.0,41.0,43.0,49.0,39.0,34.0,,38.0,25.0,27.0,39.0,33.0,44.0,12.0,53.0,39.0,19.0,47.0,50.0,48.0,36.0,38.0,30.0,43.0,56.0,50.0,37.0,34.0,45.0,27.0,41.0,29.0,28.0,33.5,27.020833333333332,33.833333333333336,35.416666666666664,37.875,36.208333333333336,34.375,34.208333333333336,36.416666666666664,45.25,35.479166666666664,35.166666666666664,44.0,38.166666666666664,50.5,51.375,48.5,44.041666666666664,44.25,38.416666666666664,49.5,41.541666666666664,38.458333333333336,41.5,40.375,28.625,27.75,33.041666666666664,31.875,32.75,30.083333333333332,50.833333333333336,47.916666666666664,36.041666666666664,55.333333333333336
20210204,42.0,45.0,41.0,41.0,43.0,49.0,39.0,34.0,,38.0,25.0,27.0,39.0,33.0,44.0,12.0,53.0,39.0,19.0,47.0,50.0,48.0,36.0,38.0,30.0,43.0,56.0,50.0,37.0,34.0,45.0,27.0,41.0,29.0,28.0,35.270833333333336,34.291666666666664,29.0625,30.3125,35.458333333333336,40.5,26.166666666666668,26.083333333333332,24.625,39.541666666666664,34.583333333333336,32.875,38.791666666666664,39.625,47.583333333333336,56.0,55.958333333333336,35.958333333333336,42.625,27.25,42.666666666666664,43.25,35.083333333333336,30.708333333333332,30.0,36.791666666666664,31.416666666666668,36.416666666666664,30.958333333333332,35.666666666666664,39.291666666666664,37.791666666666664,41.166666666666664,29.25,53.5
