date,东四,天坛,官园,万寿西宫,奥体中心,农展馆,万柳,北部新区,植物园,丰台花园,云岗,古城,房山,大兴,亦庄,通州,顺义,昌平,门头沟,平谷,怀柔,密云,延庆,定陵,八达岭,密云水库,东高村,永乐店,榆垡,琉璃河,前门,永定门内,西直门北,南三环,东四环,东城东四,东城天坛,西城官园,西城万寿西宫,朝阳奥体中心,朝阳农展馆,海淀万柳,海淀四季青,丰台小屯,丰台云岗,石景山古城,石景山老山,昌平镇,昌平南邵,定陵(对照点),延庆夏都,延庆石河营,怀柔镇,怀柔新城,密云镇,密云新城,平谷镇,平谷新城,顺义新城,顺义北小营,通州永顺,通州东关,大兴黄村,大兴旧宫,亦庄开发区,京东南区域点,门头沟双峪,门头沟三家店,房山良乡,房山燕山
20210101,28.347826086956523,30.304347826086957,28.869565217391305,31.52173913043478,26.217391304347824,28.82608695652174,29.347826086956523,31.17391304347826,,38.30434782608695,27.565217391304348,36.82608695652174,33.869565217391305,34.69565217391305,30.956521739130434,35.52173913043478,26.956521739130434,25.08695652173913,30.956521739130434,33.08695652173913,19.26086956521739,22.91304347826087,29.347826086956523,26.652173913043477,32.04347826086956,13.565217391304348,40.04347826086956,53.04347826086956,56.391304347826086,40.34782608695652,26.17391304347826,31.608695652173914,28.869565217391305,37.47826086956522,30.043478260869566,92.0,82.0,103.0,90.0,124.0,88.0,104.0,108.0,111.0,86.0,106.0,101.0,84.0,92.0,84.0,94.0,93.0,68.0,74.0,79.0,71.0,50.0,78.0,101.0,104.0,72.0,62.0,81.0,66.0,77.0,94.0,111.0,100.0,106.0,97.0
20210102,53.40909090909091,56.5,56.0,56.0,53.36363636363637,52.13636363636363,51.72727272727273,54.54545454545455,,55.68181818181818,48.09090909090909,55.45454545454545,57.77272727272727,51.95454545454545,55.59090909090909,52.40909090909091,47.81818181818182,40.77272727272727,49.77272727272727,48.13636363636363,43.18181818181818,35.0,22.454545454545453,40.09090909090909,19.227272727272727,22.272727272727273,52.04545454545455,59.63636363636363,78.22727272727273,67.45454545454545,55.09090909090909,57.86363636363637,56.63636363636363,57.77272727272727,56.86363636363637,92.0,82.0,103.0,90.0,124.0,88.0,104.0,108.0,111.0,86.0,106.0,101.0,84.0,92.0,84.0,94.0,93.0,68.0,74.0,79.0,71.0,50.0,78.0,101.0,104.0,72.0,62.0,81.0,66.0,77.0,94.0,111.0,100.0,106.0,97.0
20210103,15.608695652173912,14.956521739130435,14.91304347826087,15.652173913043478,15.173913043478262,16.0,16.391304347826086,26.130434782608695,,14.956521739130435,12.782608695652174,19.17391304347826,31.26086956521739,13.565217391304348,11.26086956521739,12.565217391304348,12.130434782608695,14.130434782608695,16.391304347826086,16.782608695652176,9.043478260869565,8.652173913043478,15.391304347826088,14.826086956521738,16.217391304347824,6.260869565217392,20.956521739130434,31.58695652173913,50.17391304347826,43.43478260869565,10.956521739130435,14.956521739130435,15.652173913043478,12.043478260869565,12.826086956521738,92.0,82.0,103.0,90.0,124.0,88.0,104.0,108.0,111.0,86.0,106.0,101.0,84.0,92.0,84.0,94.0,93.0,68.0,74.0,79.0,71.0,50.0,78.0,101.0,104.0,72.0,62.0,81.0,66.0,77.0,94.0,111.0,100.0,106.0,97.0
20210104,16.5,17.5,21.423636363636362,17.227272727272727,18.181818181818183,17.40909090909091,16.545454545454547,17.954545454545453,,15.409090909090908,14.409090909090908,19.181818181818183,19.363636363636363,20.545454545454547,19.5,25.863636363636363,15.772727272727273,14.0,17.318181818181817,14.727272727272727,10.409090909090908,12.636363636363637,19.636363636363637,14.227272727272727,20.5,8.863636363636363,23.954545454545453,36.63636363636363,34.27272727272727,33.77272727272727,14.272727272727273,16.681818181818183,20.0,16.681818181818183,18.40909090909091,92.0,82.0,103.0,90.0,124.0,88.0,104.0,108.0,111.0,86.0,106.0,101.0,84.0,92.0,84.0,94.0,93.0,68.0,74.0,79.0,71.0,50.0,78.0,101.0,104.0,72.0,62.0,81.0,66.0,77.0,94.0,111.0,100.0,106.0,97.0
20210105,16.38095238095238,11.428571428571429,33.99047619047619,11.666666666666666,10.238095238095237,10.80952380952381,12.904761904761905,12.19047619047619,,11.380952380952381,11.619047619047619,16.38095238095238,16.095238095238095,12.047619047619047,10.476190476190476,9.476190476190476,7.666666666666667,9.714285714285714,13.952380952380953,11.196428571428571,7.333333333333333,18.80952380952381,13.571428571428571,8.904761904761905,13.19047619047619,3.857142857142857,11.095238095238095,13.452380952380953,21.904761904761905,22.904761904761905,9.380952380952381,12.095238095238095,16.61904761904762,10.0,8.285714285714286,92.0,82.0,103.0,90.0,124.0,88.0,104.0,108.0,111.0,86.0,106.0,101.0,84.0,92.0,84.0,94.0,93.0,68.0,74.0,79.0,71.0,50.0,78.0,101.0,104.0,72.0,62.0,81.0,66.0,77.0,94.0,111.0,100.0,106.0,97.0
20210106,12.826086956521738,12.043478260869565,17.891304347826086,11.652173913043478,11.41304347826087,13.23913043478261,10.5,11.869565217391305,,12.521739130434783,12.304347826086957,14.91304347826087,14.173913043478262,16.391304347826086,14.043478260869565,13.652173913043478,8.608695652173912,8.173913043478262,14.630434782608695,10.625,8.08695652173913,8.217391304347826,8.043478260869565,7.304347826086956,8.304347826086957,6.913043478260869,15.565217391304348,19.043478260869566,31.695652173913043,14.826086956521738,10.956521739130435,10.91304347826087,18.47826086956522,11.869565217391305,12.217391304347826,92.0,82.0,103.0,90.0,124.0,88.0,104.0,108.0,111.0,86.0,106.0,101.0,84.0,92.0,84.0,94.0,93.0,68.0,74.0,79.0,71.0,50.0,78.0,101.0,104.0,72.0,62.0,81.0,66.0,77.0,94.0,111.0,100.0,106.0,97.0
20210107,8.857142857142858,10.952380952380953,9.571428571428571,9.619047619047619,10.428571428571429,9.857142857142858,7.0476190476190474,9.0,,9.666666666666666,9.69047619047619,10.047619047619047,12.238095238095237,13.761904761904763,10.238095238095237,8.80952380952381,5.571428571428571,5.5476190476190474,8.761904761904763,8.19047619047619,5.833333333333333,5.666666666666667,10.428571428571429,6.380952380952381,8.952380952380953,4.071428571428571,9.19047619047619,10.476190476190476,39.42857142857143,13.142857142857142,7.666666666666667,8.666666666666666,18.0,8.285714285714286,5.666666666666667,92.0,82.0,103.0,90.0,124.0,88.0,104.0,108.0,111.0,86.0,106.0,101.0,84.0,92.0,84.0,94.0,93.0,68.0,74.0,79.0,71.0,50.0,78.0,101.0,104.0,72.0,62.0,81.0,66.0,77.0,94.0,111.0,100.0,106.0,97.0
20210109,9.434782608695652,16.47826086956522,15.173913043478262,12.478260869565217,6.695652173913044,9.652173913043478,8.869565217391305,7.130434782608695,,11.695652173913043,13.043478260869565,10.608695652173912,22.565217391304348,11.478260869565217,11.043478260869565,10.173913043478262,6.956521739130435,7.0,7.304347826086956,8.434782608695652,7.565217391304348,13.391304347826088,7.826086956521739,7.217391304347826,15.434782608695652,6.0,11.347826086956522,18.130434782608695,49.04347826086956,21.695652173913043,8.043478260869565,10.130434782608695,9.826086956521738,12.434782608695652,8.26086956521739,92.0,82.0,103.0,90.0,124.0,88.0,104.0,108.0,111.0,86.0,106.0,101.0,84.0,92.0,84.0,94.0,93.0,68.0,74.0,79.0,71.0,50.0,78.0,101.0,104.0,72.0,62.0,81.0,66.0,77.0,94.0,111.0,100.0,106.0,97.0
20210110,8.434782608695652,12.847826086956522,11.173913043478262,8.41304347826087,7.434782608695652,8.347826086956522,8.0,7.260869565217392,,7.195652173913044,6.826086956521739,8.08695652173913,8.869565217391305,7.0,8.652173913043478,7.086956521739131,6.304347826086956,6.521739130434782,6.130434782608695,10.173913043478262,8.652173913043478,11.565217391304348,6.782608695652174,7.260869565217392,10.043478260869565,5.304347826086956,12.826086956521738,11.804347826086957,16.73913043478261,20.47826086956522,6.173913043478261,7.869565217391305,9.043478260869565,8.608695652173912,7.086956521739131,92.0,82.0,103.0,90.0,124.0,88.0,104.0,108.0,111.0,86.0,106.0,101.0,84.0,92.0,84.0,94.0,93.0,68.0,74.0,79.0,71.0,50.0,78.0,101.0,104.0,72.0,62.0,81.0,66.0,77.0,94.0,111.0,100.0,106.0,97.0
20210111,21.91304347826087,21.695652173913043,20.782608695652176,23.0,20.565217391304348,19.956521739130434,22.0,21.91304347826087,,22.043478260869566,19.652173913043477,26.782608695652176,23.130434782608695,20.217391304347824,21.47826086956522,20.282608695652176,18.956521739130434,17.47826086956522,25.043478260869566,19.73913043478261,15.043478260869565,18.52173913043478,16.52173913043478,18.17391304347826,21.956521739130434,12.26086956521739,24.043478260869566,28.73913043478261,34.43478260869565,29.82608695652174,19.608695652173914,20.695652173913043,22.565217391304348,21.782608695652176,17.608695652173914,92.0,82.0,103.0,90.0,124.0,88.0,104.0,108.0,111.0,86.0,106.0,101.0,84.0,92.0,84.0,94.0,93.0,68.0,74.0,79.0,71.0,50.0,78.0,101.0,104.0,72.0,62.0,81.0,66.0,77.0,94.0,111.0,100.0,106.0,97.0
