month,东四,天坛,官园,万寿西宫,奥体中心,农展馆,万柳,北部新区,植物园,丰台花园,云岗,古城,房山,大兴,亦庄,通州,顺义,昌平,门头沟,平谷,怀柔,密云,延庆,定陵,八达岭,密云水库,东高村,永乐店,榆垡,琉璃河,前门,永定门内,西直门北,南三环,东四环,东城东四,东城天坛,西城官园,西城万寿西宫,朝阳奥体中心,朝阳农展馆,海淀万柳,海淀四季青,丰台小屯,丰台云岗,石景山古城,石景山老山,昌平镇,昌平南邵,定陵(对照点),延庆夏都,延庆石河营,怀柔镇,怀柔新城,密云镇,密云新城,平谷镇,平谷新城,顺义新城,顺义北小营,通州永顺,通州东关,大兴黄村,大兴旧宫,亦庄开发区,京东南区域点,门头沟双峪,门头沟三家店,房山良乡,房山燕山
202101,26.106879606879605,26.412776412776413,28.081375921375923,27.28009828009828,24.292383292383292,25.233415233415233,27.318181818181817,26.656019656019655,,28.077395577395578,24.744471744471745,29.745700245700245,30.616707616707618,28.28746928746929,26.882063882063882,26.706388206388205,23.952088452088454,23.853808353808354,26.66093366093366,24.985012285012285,21.05036855036855,21.18918918918919,24.614250614250615,22.76044226044226,25.896805896805898,14.571253071253071,27.808353808353807,34.686732186732186,47.52948402948403,35.64275184275184,23.963144963144963,25.706388206388205,26.825552825552826,27.10933660933661,24.233415233415233,83.44963144963145,74.8968058968059,92.98157248157248,81.64619164619165,111.69041769041769,79.94348894348894,93.83415233415234,97.5012285012285,100.31203931203932,77.6068796068796,95.80835380835381,91.02211302211302,75.82309582309583,83.12530712530713,75.45085995085995,84.55773955773955,83.63144963144963,61.57002457002457,66.62653562653563,71.31695331695332,64.14987714987716,46.03194103194103,70.84029484029485,90.98648648648648,93.64619164619165,65.66830466830467,56.804668304668304,73.33906633906633,60.16216216216216,69.8992628992629,86.18181818181819,100.06879606879608,90.12285012285012,95.75429975429975,87.39066339066339
202102,21.0,20.0,23.0,26.0,17.0,21.0,33.0,18.0,,31.0,20.0,22.0,26.0,28.0,23.0,22.0,26.0,36.0,20.0,30.0,28.0,22.0,8.0,8.0,13.0,9.0,29.0,34.0,47.0,28.0,24.0,28.0,17.0,25.0,24.0,67.3603744149766,65.88455538221528,64.79485179407176,67.66302652106084,65.56942277691108,64.7402496099844,64.33385335413416,66.31045241809673,68.54368174726989,60.152886115444616,64.62792511700468,60.26677067082683,57.904836193447736,64.23166926677067,55.00858034321373,54.44461778471139,52.12636505460218,60.24804992199688,56.76443057722309,63.13260530421217,62.1216848673947,65.70280811232449,67.7613104524181,69.12090483619345,67.44461778471138,72.9188767550702,67.66146645865835,64.96723868954759,66.04680187207488,69.69188767550702,75.9414976599064,58.24180967238689,56.673946957878314,70.84867394695787,58.12792511700468
202103,21.0,20.0,23.0,26.0,17.0,21.0,33.0,18.0,,31.0,20.0,22.0,26.0,28.0,23.0,22.0,26.0,36.0,20.0,30.0,28.0,22.0,8.0,8.0,13.0,9.0,29.0,34.0,47.0,28.0,24.0,28.0,17.0,25.0,24.0,91.5296442687747,88.3586956521739,91.38833992094861,90.65513833992095,93.8903162055336,90.09387351778656,93.9802371541502,93.56620553359684,94.13833992094861,90.02569169960475,97.26284584980237,90.20355731225297,97.25691699604744,94.17588932806323,94.0,85.79249011857708,80.76482213438736,90.8300395256917,85.11166007905139,80.8498023715415,84.14229249011858,82.44169960474308,79.13438735177866,94.48418972332016,90.34387351778656,87.74209486166008,85.0494071146245,87.91501976284584,82.71936758893281,86.77470355731225,84.85375494071147,96.28656126482214,95.03162055335969,89.55335968379447,87.90118577075098
202104,21.0,20.0,23.0,26.0,17.0,21.0,33.0,18.0,,31.0,20.0,22.0,26.0,28.0,23.0,22.0,26.0,36.0,20.0,30.0,28.0,22.0,8.0,8.0,13.0,9.0,29.0,34.0,47.0,28.0,24.0,28.0,17.0,25.0,24.0,34.655072463768114,32.89513457556936,36.83331608005521,36.516666666666666,36.98623188405797,35.21884057971015,34.584057971014495,34.31956521739131,37.56014492753623,32.78768115942029,38.24782608695652,34.06521739130435,33.36666666666667,32.92028985507246,31.057971014492754,31.902173913043477,30.25144927536232,33.630434782608695,30.258695652173913,30.291304347826088,30.884057971014492,37.16159420289855,33.36086956521739,33.82971014492754,35.29710144927536,40.35217391304348,36.34347826086957,34.2768115942029,34.79420289855072,33.665217391304346,39.56086956521739,35.67463768115942,33.278260869565216,38.15652173913043,33.630434782608695
202105,21.0,20.0,23.0,26.0,17.0,21.0,33.0,18.0,,31.0,20.0,22.0,26.0,28.0,23.0,22.0,26.0,36.0,20.0,30.0,28.0,22.0,8.0,8.0,13.0,9.0,29.0,34.0,47.0,28.0,24.0,28.0,17.0,25.0,24.0,24.827981651376145,21.93692660550459,21.811718098415344,22.162844036697248,23.479357798165136,24.321100917431192,20.81192660550459,22.18922018348624,21.78211009174312,21.779816513761467,23.55275229357798,21.275229357798164,23.486238532110093,23.853211009174313,20.389908256880734,20.62729357798165,21.615825688073393,25.20756880733945,26.02866972477064,30.37270642201835,28.74197247706422,30.193807339449542,32.0894495412844,28.119266055045873,24.916284403669724,30.46788990825688,27.990825688073393,19.51834862385321,29.655963302752294,23.150229357798164,35.00344036697248,27.70756880733945,24.66169724770642,25.520642201834864,21.452981651376145
202106,21.0,20.0,23.0,26.0,17.0,21.0,33.0,18.0,,31.0,20.0,22.0,26.0,28.0,23.0,22.0,26.0,36.0,20.0,30.0,28.0,22.0,8.0,8.0,13.0,9.0,29.0,34.0,47.0,28.0,24.0,28.0,17.0,25.0,24.0,20.60761346998536,18.95827232796486,19.104685212298683,18.471449487554906,19.781844802342608,19.498535871156662,18.00732064421669,18.162518301610543,19.837481698389457,19.183016105417277,18.87701317715959,18.817715959004392,17.531478770131773,18.124450951683748,15.924597364568083,15.56515373352855,15.184480234260615,17.300878477306004,17.5805270863836,18.167642752562227,17.20497803806735,18.35358711566618,19.090775988286968,18.691800878477306,18.96559297218155,21.691068814055637,20.975109809663252,20.374816983894583,20.996339677891655,20.08931185944363,38.87701317715959,19.64641288433382,18.144948755490482,19.24524158125915,18.14787701317716
202107,21.0,20.0,23.0,26.0,17.0,21.0,33.0,18.0,,31.0,20.0,22.0,26.0,28.0,23.0,22.0,26.0,36.0,20.0,30.0,28.0,22.0,8.0,8.0,13.0,9.0,29.0,34.0,47.0,28.0,24.0,28.0,17.0,25.0,24.0,16.64461247637051,15.55765595463138,16.101134215500945,15.77788279773157,16.296786389413988,16.456521739130434,15.300567107750473,15.502835538752363,16.219281663516067,15.302457466918714,15.61436672967864,15.070888468809073,15.293950850661625,15.74102079395085,14.496219281663516,13.854442344045369,13.031190926275993,14.799621928166351,15.551039697542533,16.46219281663516,14.572778827977316,17.652173913043477,18.438563327032135,16.525519848771268,17.236294896030245,18.035916824196597,18.06899810964083,15.829867674858223,16.582230623818525,17.207939508506616,28.11625708884688,15.714555765595463,14.20226843100189,14.858223062381853,14.799621928166351
202108,21.0,20.0,23.0,26.0,17.0,21.0,33.0,18.0,,31.0,20.0,22.0,26.0,28.0,23.0,22.0,26.0,36.0,20.0,30.0,28.0,22.0,8.0,8.0,13.0,9.0,29.0,34.0,47.0,28.0,24.0,28.0,17.0,25.0,24.0,19.10548523206751,17.907876230661042,19.323488045007032,18.357243319268637,18.835443037974684,18.88818565400844,18.72573839662447,18.340365682137833,20.29535864978903,19.466244725738395,19.157524613220815,19.37552742616034,17.72573839662447,19.11111111111111,17.883966244725737,18.548523206751057,18.109704641350213,16.233473980309423,16.58016877637131,16.940928270042193,14.734880450070323,17.339662447257385,18.0239099859353,16.928270042194093,17.960618846694796,19.761603375527425,19.032348804500703,19.485935302391,19.38255977496484,20.149789029535864,24.014767932489452,20.744022503516174,19.628691983122362,19.645569620253166,19.82559774964838
202109,21.0,20.0,23.0,26.0,17.0,21.0,33.0,18.0,,31.0,20.0,22.0,26.0,28.0,23.0,22.0,26.0,36.0,20.0,30.0,28.0,22.0,8.0,8.0,13.0,9.0,29.0,34.0,47.0,28.0,24.0,28.0,17.0,25.0,24.0,18.37851662404092,16.906649616368288,18.823529411764707,17.77749360613811,17.534526854219948,17.641943734015346,17.327365728900254,15.447570332480819,21.065217391304348,16.983375959079282,18.69309462915601,16.355498721227622,15.914322250639387,15.557544757033249,14.649616368286445,15.850383631713555,13.92071611253197,15.48849104859335,14.728900255754477,15.254475703324808,12.286445012787723,15.446291560102301,15.907928388746804,15.684143222506394,15.242966751918159,17.687979539641944,18.09462915601023,18.347826086956523,17.895140664961637,17.58695652173913,37.012787723785166,16.084398976982097,15.304347826086957,18.438618925831204,16.147058823529413
202110,21.0,20.0,23.0,26.0,17.0,21.0,33.0,18.0,,31.0,20.0,22.0,26.0,28.0,23.0,22.0,26.0,36.0,20.0,30.0,28.0,22.0,8.0,8.0,13.0,9.0,29.0,34.0,47.0,28.0,24.0,28.0,17.0,25.0,24.0,37.427385892116185,35.10995850622407,36.267634854771785,36.43672199170125,36.058091286307054,35.94398340248963,31.62863070539419,27.181535269709542,37.20331950207469,29.703319502074688,33.371369294605806,31.45850622406639,27.115145228215766,23.514522821576765,22.859958506224068,23.296680497925312,21.716804979253112,28.175311203319502,25.520746887966805,23.993775933609957,30.550829875518673,37.61099585062241,35.04668049792531,31.84439834024896,27.746399804735173,40.29045643153527,41.02593360995851,35.522821576763484,35.8558091286307,38.50622406639004,49.087136929460584,27.824688796680498,28.36410788381743,36.43775933609958,26.79979253112033
