date,东四,天坛,官园,万寿西宫,奥体中心,农展馆,万柳,北部新区,植物园,丰台花园,云岗,古城,房山,大兴,亦庄,通州,顺义,昌平,门头沟,平谷,怀柔,密云,延庆,定陵,八达岭,密云水库,东高村,永乐店,榆垡,琉璃河,前门,永定门内,西直门北,南三环,东四环,东城东四,东城天坛,西城官园,西城万寿西宫,朝阳奥体中心,朝阳农展馆,海淀万柳,海淀四季青,丰台小屯,丰台云岗,石景山古城,石景山老山,昌平镇,昌平南邵,定陵(对照点),延庆夏都,延庆石河营,怀柔镇,怀柔新城,密云镇,密云新城,平谷镇,平谷新城,顺义新城,顺义北小营,通州永顺,通州东关,大兴黄村,大兴旧宫,亦庄开发区,京东南区域点,门头沟双峪,门头沟三家店,房山良乡,房山燕山
20210101,3.75,3.1666666666666665,6.416666666666667,4.791666666666667,6.291666666666667,5.041666666666667,9.708333333333334,8.333333333333334,,6.125,6.708333333333333,5.791666666666667,4.416666666666667,3.0416666666666665,5.416666666666667,5.083333333333333,7.291666666666667,8.208333333333334,6.416666666666667,3.1666666666666665,4.75,7.208333333333333,9.583333333333334,7.083333333333333,12.083333333333334,5.791666666666667,5.291666666666667,7.541666666666667,8.291666666666666,4.708333333333333,6.291666666666667,9.0,4.75,8.875,10.0,5.0,1.0,3.0,2.0,21.0,3.0,1.0,3.0,2.0,2.0,3.0,3.0,2.0,3.0,3.0,2.0,2.0,2.0,1.0,3.0,2.0,1.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,6.0,2.0,1.0,4.0,1.0,3.0
20210102,6.782608695652174,4.434782608695652,7.913043478260869,5.956521739130435,6.913043478260869,7.304347826086956,7.217391304347826,4.869565217391305,,4.304347826086956,6.217391304347826,4.913043478260869,2.3043478260869565,2.5652173913043477,7.043478260869565,3.8260869565217392,4.391304347826087,4.608695652173913,4.869565217391305,4.130434782608695,4.695652173913044,2.6956521739130435,3.8260869565217392,5.478260869565218,5.913043478260869,3.0434782608695654,4.130434782608695,7.478260869565218,10.043478260869565,3.130434782608696,7.695652173913044,4.956521739130435,3.260869565217391,5.565217391304348,6.130434782608695,5.0,1.0,3.0,2.0,21.0,3.0,1.0,3.0,2.0,2.0,3.0,3.0,2.0,3.0,3.0,2.0,2.0,2.0,1.0,3.0,2.0,1.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,6.0,2.0,1.0,4.0,1.0,3.0
20210103,3.375,2.7916666666666665,5.291666666666667,3.2083333333333335,2.375,3.2083333333333335,5.208333333333333,4.958333333333333,,3.1666666666666665,2.7083333333333335,4.166666666666667,1.9166666666666667,2.4583333333333335,3.6666666666666665,2.7916666666666665,1.875,4.666666666666667,5.291666666666667,2.75,1.625,1.75,5.5,6.708333333333333,7.0,1.5,2.2916666666666665,4.541666666666667,4.0,2.5,2.9166666666666665,4.708333333333333,2.4583333333333335,4.041666666666667,4.25,5.0,1.0,3.0,2.0,21.0,3.0,1.0,3.0,2.0,2.0,3.0,3.0,2.0,3.0,3.0,2.0,2.0,2.0,1.0,3.0,2.0,1.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,6.0,2.0,1.0,4.0,1.0,3.0
20210104,3.5217391304347827,2.391304347826087,4.51304347826087,3.608695652173913,9.173913043478262,3.9130434782608696,2.739130434782609,3.0434782608695654,,3.652173913043478,2.0,2.782608695652174,1.9565217391304348,2.782608695652174,2.869565217391304,3.739130434782609,2.0434782608695654,2.739130434782609,3.739130434782609,2.4782608695652173,1.7391304347826086,2.5217391304347827,3.0434782608695654,2.9565217391304346,4.173913043478261,2.260869565217391,1.9565217391304348,3.6956521739130435,3.6956521739130435,2.608695652173913,3.391304347826087,6.086956521739131,3.608695652173913,4.695652173913044,5.739130434782608,5.0,1.0,3.0,2.0,21.0,3.0,1.0,3.0,2.0,2.0,3.0,3.0,2.0,3.0,3.0,2.0,2.0,2.0,1.0,3.0,2.0,1.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,6.0,2.0,1.0,4.0,1.0,3.0
20210105,2.272727272727273,2.4545454545454546,3.5545454545454547,2.772727272727273,5.454545454545454,2.977272727272727,2.3181818181818183,4.090909090909091,,2.8636363636363638,2.4545454545454546,2.8636363636363638,2.227272727272727,3.590909090909091,1.7272727272727273,3.0,2.409090909090909,2.909090909090909,3.590909090909091,2.5,2.0,2.3636363636363638,4.681818181818182,2.8636363636363638,7.954545454545454,2.727272727272727,1.8181818181818181,2.1818181818181817,4.045454545454546,2.909090909090909,1.9545454545454546,4.863636363636363,2.909090909090909,3.6818181818181817,3.4545454545454546,5.0,1.0,3.0,2.0,21.0,3.0,1.0,3.0,2.0,2.0,3.0,3.0,2.0,3.0,3.0,2.0,2.0,2.0,1.0,3.0,2.0,1.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,6.0,2.0,1.0,4.0,1.0,3.0
20210106,3.3333333333333335,3.3333333333333335,3.875,3.0833333333333335,4.208333333333333,2.1666666666666665,2.8125,3.1666666666666665,,2.2916666666666665,1.7916666666666667,2.0833333333333335,3.25,5.375,3.5,2.0833333333333335,2.0,2.3333333333333335,3.1041666666666665,3.1666666666666665,2.125,2.0,2.3333333333333335,1.9166666666666667,1.875,2.0,1.7083333333333333,2.0416666666666665,2.7916666666666665,2.0416666666666665,2.6875,6.375,3.1666666666666665,3.5,2.7083333333333335,5.0,1.0,3.0,2.0,21.0,3.0,1.0,3.0,2.0,2.0,3.0,3.0,2.0,3.0,3.0,2.0,2.0,2.0,1.0,3.0,2.0,1.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,6.0,2.0,1.0,4.0,1.0,3.0
20210107,3.1363636363636362,3.0454545454545454,4.045454545454546,2.9318181818181817,5.0,1.9545454545454546,2.590909090909091,3.2045454545454546,,1.6363636363636365,2.227272727272727,2.1363636363636362,3.590909090909091,11.136363636363637,5.7272727272727275,2.090909090909091,1.7272727272727273,2.75,2.6818181818181817,5.681818181818182,1.9772727272727273,1.7272727272727273,3.409090909090909,3.0,3.5454545454545454,2.772727272727273,2.6363636363636362,1.5454545454545454,2.3636363636363638,2.0454545454545454,3.3636363636363638,6.681818181818182,3.1363636363636362,3.6818181818181817,3.5,5.0,1.0,3.0,2.0,21.0,3.0,1.0,3.0,2.0,2.0,3.0,3.0,2.0,3.0,3.0,2.0,2.0,2.0,1.0,3.0,2.0,1.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,6.0,2.0,1.0,4.0,1.0,3.0
20210108,2.0434782608695654,2.782608695652174,2.652173913043478,2.0434782608695654,2.869565217391304,2.5,2.0869565217391304,2.5652173913043477,,2.891304347826087,3.608695652173913,2.217391304347826,2.869565217391304,2.739130434782609,4.478260869565218,1.8695652173913044,1.7391304347826086,2.391304347826087,2.0,2.0869565217391304,1.7826086956521738,2.3043478260869565,2.869565217391304,3.217391304347826,2.4347826086956523,2.0869565217391304,2.130434782608696,3.347826086956522,5.695652173913044,2.782608695652174,1.7391304347826086,5.608695652173913,1.3478260869565217,3.4347826086956523,1.6956521739130435,5.0,1.0,3.0,2.0,21.0,3.0,1.0,3.0,2.0,2.0,3.0,3.0,2.0,3.0,3.0,2.0,2.0,2.0,1.0,3.0,2.0,1.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,6.0,2.0,1.0,4.0,1.0,3.0
20210109,2.625,3.0833333333333335,2.625,2.25,3.25,2.7083333333333335,2.5416666666666665,2.4791666666666665,,3.4583333333333335,3.5416666666666665,2.7083333333333335,2.7916666666666665,2.9166666666666665,4.875,1.75,3.6875,2.9166666666666665,2.5,1.5416666666666667,1.7083333333333333,1.8333333333333333,5.541666666666667,4.083333333333333,4.791666666666667,2.1666666666666665,2.375,4.208333333333333,6.833333333333333,3.9166666666666665,1.9583333333333333,6.041666666666667,1.9583333333333333,3.5833333333333335,1.9583333333333333,5.0,1.0,3.0,2.0,21.0,3.0,1.0,3.0,2.0,2.0,3.0,3.0,2.0,3.0,3.0,2.0,2.0,2.0,1.0,3.0,2.0,1.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,6.0,2.0,1.0,4.0,1.0,3.0
20210110,2.7083333333333335,3.1666666666666665,3.375,2.6041666666666665,2.75,3.375,2.5833333333333335,2.7083333333333335,,2.2708333333333335,1.6666666666666667,2.125,2.1666666666666665,1.7916666666666667,3.1666666666666665,1.7083333333333333,2.9583333333333335,4.416666666666667,2.7916666666666665,2.9166666666666665,2.0416666666666665,1.625,4.125,3.5,5.5,1.7083333333333333,1.875,3.25,2.375,1.9583333333333333,2.25,6.0,2.5833333333333335,2.7916666666666665,2.5833333333333335,5.0,1.0,3.0,2.0,21.0,3.0,1.0,3.0,2.0,2.0,3.0,3.0,2.0,3.0,3.0,2.0,2.0,2.0,1.0,3.0,2.0,1.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,6.0,2.0,1.0,4.0,1.0,3.0
