month,东四,天坛,官园,万寿西宫,奥体中心,农展馆,万柳,北部新区,植物园,丰台花园,云岗,古城,房山,大兴,亦庄,通州,顺义,昌平,门头沟,平谷,怀柔,密云,延庆,定陵,八达岭,密云水库,东高村,永乐店,榆垡,琉璃河,前门,永定门内,西直门北,南三环,东四环,东城东四,东城天坛,西城官园,西城万寿西宫,朝阳奥体中心,朝阳农展馆,海淀万柳,海淀四季青,丰台小屯,丰台云岗,石景山古城,石景山老山,昌平镇,昌平南邵,定陵(对照点),延庆夏都,延庆石河营,怀柔镇,怀柔新城,密云镇,密云新城,平谷镇,平谷新城,顺义新城,顺义北小营,通州永顺,通州东关,大兴黄村,大兴旧宫,亦庄开发区,京东南区域点,门头沟双峪,门头沟三家店,房山良乡,房山燕山
202101,2.816693944353519,2.53518821603928,3.3682487725040917,2.949263502454992,3.881342062193126,3.1947626841243864,3.576923076923077,2.94189852700491,,3.155482815057283,2.5425531914893615,3.0687397708674307,2.1914893617021276,2.6399345335515547,3.6382978723404253,2.324058919803601,3.6252045826513912,3.1317512274959083,2.9639934533551555,2.2847790507364976,3.118657937806874,4.071194762684124,3.016366612111293,3.9779050736497545,4.480360065466448,2.5990180032733226,2.6497545008183305,2.978723404255319,4.432078559738134,2.8216039279869065,3.3428805237315875,4.911620294599018,3.090016366612111,3.4468085106382977,3.7397708674304417,4.472176759410802,1.6006546644844517,3.507364975450082,2.5188216039279867,15.806055646481179,3.2013093289689034,1.9312602291325696,3.0016366612111294,2.493453355155483,2.2749590834697218,2.992635024549918,3.193126022913257,2.73240589198036,3.0965630114566283,3.2013093289689034,2.992635024549918,3.0384615384615383,2.372340425531915,1.6947626841243864,2.9361702127659575,2.299509001636661,1.734860883797054,3.165302782324059,3.148936170212766,2.230769230769231,2.3747954173486088,3.4181669394435352,2.8707037643207856,2.9672667757774143,5.29050736497545,2.913256955810147,1.6399345335515547,4.027004909983633,1.5090016366612111,2.9950900163666123
202102,2.0,1.0,1.0,2.0,2.0,2.0,3.0,1.0,,2.0,1.0,3.0,1.0,1.0,3.0,1.0,5.0,2.0,1.0,1.0,4.0,7.0,1.0,4.0,3.0,3.0,3.0,1.0,3.0,3.0,2.0,2.0,3.0,1.0,3.0,4.001157407407407,3.1099537037037037,4.6030092592592595,3.915509259259259,4.704861111111111,4.859953703703703,3.9479166666666665,2.5925925925925926,3.8368055555555554,4.202546296296297,3.4768518518518516,3.8796296296296298,3.8252314814814814,2.7662037037037037,3.7025462962962963,4.179398148148148,4.9282407407407405,3.228009259259259,3.1018518518518516,3.4606481481481484,3.4108796296296298,3.3935185185185186,3.5,4.4155092592592595,3.4328703703703702,4.101851851851852,5.537037037037037,2.8472222222222223,2.7939814814814814,4.391203703703703,4.079861111111111,3.162037037037037,4.063657407407407,3.324074074074074,4.329861111111111
202103,2.0,1.0,1.0,2.0,2.0,2.0,3.0,1.0,,2.0,1.0,3.0,1.0,1.0,3.0,1.0,5.0,2.0,1.0,1.0,4.0,7.0,1.0,4.0,3.0,3.0,3.0,1.0,3.0,3.0,2.0,2.0,3.0,1.0,3.0,2.808467741935484,2.605510752688172,3.6048387096774195,2.752016129032258,2.9778225806451615,3.265456989247312,2.5551075268817205,2.370295698924731,3.055779569892473,3.430779569892473,2.600806451612903,2.79502688172043,2.692204301075269,2.4455645161290325,2.870967741935484,2.7513440860215055,2.711021505376344,2.864247311827957,2.7446236559139785,2.8071236559139785,2.6760752688172045,2.7446236559139785,2.6760752688172045,2.9576612903225805,2.808467741935484,2.5678763440860215,3.129704301075269,2.8548387096774195,2.5403225806451615,2.8716397849462365,3.1438172043010755,2.452956989247312,2.5920698924731185,2.633736559139785,2.5416666666666665
202104,2.0,1.0,1.0,2.0,2.0,2.0,3.0,1.0,,2.0,1.0,3.0,1.0,1.0,3.0,1.0,5.0,2.0,1.0,1.0,4.0,7.0,1.0,4.0,3.0,3.0,3.0,1.0,3.0,3.0,2.0,2.0,3.0,1.0,3.0,3.40625,3.3011363636363638,4.3125,3.303030303030303,3.108901515151515,3.8418560606060606,3.147727272727273,2.653409090909091,3.543560606060606,3.3693181818181817,3.159090909090909,3.018939393939394,3.2793560606060606,2.6856060606060606,2.640151515151515,2.796401515151515,2.6543560606060606,3.6306818181818183,3.3295454545454546,3.3740530303030303,3.2320075757575757,3.164772727272727,3.476325757575758,3.4431818181818183,3.221590909090909,3.1875,3.4365530303030303,3.382575757575758,2.983901515151515,3.539772727272727,3.4829545454545454,2.872159090909091,2.871212121212121,2.9791666666666665,3.8759469696969697
202105,2.0,1.0,1.0,2.0,2.0,2.0,3.0,1.0,,2.0,1.0,3.0,1.0,1.0,3.0,1.0,5.0,2.0,1.0,1.0,4.0,7.0,1.0,4.0,3.0,3.0,3.0,1.0,3.0,3.0,2.0,2.0,3.0,1.0,3.0,2.643337819650067,2.6655450874831765,3.3667563930013458,2.638627187079408,2.6211305518169583,3.01278600269179,2.458950201884253,2.3472409152086136,2.6043068640646028,2.8896366083445493,2.58950201884253,2.433378196500673,2.8620457604306866,2.445491251682369,2.4952893674293404,2.481830417227456,2.3728129205921937,2.9979811574697175,2.673620457604307,2.5497981157469716,2.6002691790040378,2.8647375504710633,2.7220726783310902,2.9858681022880216,2.6379542395693134,2.643337819650067,2.860699865410498,2.927321668909825,3.0753701211305517,2.5800807537012114,2.882907133243607,2.5383580080753703,2.6998654104979813,2.3358008075370122,2.5733512786002692
202106,2.0,1.0,1.0,2.0,2.0,2.0,3.0,1.0,,2.0,1.0,3.0,1.0,1.0,3.0,1.0,5.0,2.0,1.0,1.0,4.0,7.0,1.0,4.0,3.0,3.0,3.0,1.0,3.0,3.0,2.0,2.0,3.0,1.0,3.0,2.6280623608017817,2.8418708240534523,2.730512249443207,2.730512249443207,2.717149220489978,2.848552338530067,2.56347438752784,2.8507795100222717,2.4788418708240534,2.3574610244988863,2.7951002227171493,2.576837416481069,3.0612472160356345,2.670378619153675,2.472160356347439,2.661469933184855,2.032293986636971,2.771714922048998,2.7383073496659245,2.799554565701559,2.606904231625835,2.797327394209354,2.8129175946547886,2.755011135857461,2.9265033407572383,2.8151447661469935,2.7160356347438754,2.9543429844097995,2.690423162583519,2.760579064587973,2.967706013363029,2.760579064587973,2.560133630289532,2.458797327394209,2.2984409799554566
202107,2.0,1.0,1.0,2.0,2.0,2.0,3.0,1.0,,2.0,1.0,3.0,1.0,1.0,3.0,1.0,5.0,2.0,1.0,1.0,4.0,7.0,1.0,4.0,3.0,3.0,3.0,1.0,3.0,3.0,2.0,2.0,3.0,1.0,3.0,2.577956989247312,2.8393817204301075,2.1794354838709675,1.9798387096774193,2.7903225806451615,2.7311827956989245,2.3091397849462365,3.0,2.72244623655914,2.0638440860215055,2.756048387096774,2.956989247311828,2.0705645161290325,3.0201612903225805,2.89247311827957,2.829301075268817,1.2426075268817205,2.456989247311828,2.5920698924731185,2.3850806451612905,2.877688172043011,2.985215053763441,2.6908602150537635,2.8823924731182795,3.0013440860215055,3.411962365591398,2.5631720430107525,3.014784946236559,3.015456989247312,2.6411290322580645,2.7204301075268815,2.924731182795699,2.7231182795698925,2.7620967741935485,2.4489247311827955
202108,2.0,1.0,1.0,2.0,2.0,2.0,3.0,1.0,,2.0,1.0,3.0,1.0,1.0,3.0,1.0,5.0,2.0,1.0,1.0,4.0,7.0,1.0,4.0,3.0,3.0,3.0,1.0,3.0,3.0,2.0,2.0,3.0,1.0,3.0,2.668859649122807,2.3903508771929824,2.817982456140351,1.8081140350877194,2.5021929824561404,2.594298245614035,2.3201754385964914,2.9758771929824563,2.5559210526315788,2.1710526315789473,2.844298245614035,1.706140350877193,2.2094298245614037,2.9649122807017543,2.7302631578947367,2.883771929824561,1.6019736842105263,2.669956140350877,2.638157894736842,2.1600877192982457,2.8903508771929824,2.6458333333333335,2.6951754385964914,2.7796052631578947,2.892543859649123,2.870614035087719,2.4539473684210527,2.888157894736842,2.8728070175438596,2.2850877192982457,2.3267543859649122,2.780701754385965,2.8464912280701755,2.625,2.593201754385965
202109,2.0,1.0,1.0,2.0,2.0,2.0,3.0,1.0,,2.0,1.0,3.0,1.0,1.0,3.0,1.0,5.0,2.0,1.0,1.0,4.0,7.0,1.0,4.0,3.0,3.0,3.0,1.0,3.0,3.0,2.0,2.0,3.0,1.0,3.0,2.7319444444444443,2.4430555555555555,2.776388888888889,2.3555555555555556,2.365972222222222,2.578472222222222,2.625,2.9569444444444444,2.1694444444444443,2.404861111111111,2.8409722222222222,2.701388888888889,2.5708333333333333,2.8666666666666667,2.6708333333333334,2.4659722222222222,2.1152777777777776,2.6868055555555554,2.701388888888889,1.7381944444444444,2.8055555555555554,2.811111111111111,3.00625,2.8430555555555554,2.783333333333333,2.8666666666666667,2.4763888888888888,2.6194444444444445,2.7319444444444443,2.363888888888889,2.4833333333333334,2.73125,2.6131944444444444,2.841666666666667,2.3520833333333333
202110,2.0,1.0,1.0,2.0,2.0,2.0,3.0,1.0,,2.0,1.0,3.0,1.0,1.0,3.0,1.0,5.0,2.0,1.0,1.0,4.0,7.0,1.0,4.0,3.0,3.0,3.0,1.0,3.0,3.0,2.0,2.0,3.0,1.0,3.0,2.6598915989159893,2.453929539295393,3.91260162601626,3.287940379403794,2.206639566395664,2.7574525745257454,2.4796747967479673,2.8265582655826558,2.720867208672087,2.7628726287262872,2.7757452574525745,2.4281842818428183,2.511517615176152,2.6205962059620598,2.2323848238482387,2.5257452574525745,2.5934959349593494,2.377371273712737,2.5582655826558267,4.171409214092141,2.6205962059620598,2.801490514905149,2.7669376693766936,2.7804878048780486,3.3008130081300813,2.5813008130081303,2.9098915989159893,2.4905149051490514,2.5189701897018972,2.356368563685637,2.6727642276422765,2.624661246612466,2.706639566395664,2.4986449864498645,2.540650406504065
