year,朝阳区,海淀区,丰台区,石景山区,房山区,大兴区,通州区,顺义区,昌平区,门头沟区,平谷区,怀柔区,密云区,延庆区
2014,127.00907756854656,118.98710196928768,133.0384824087804,125.35241832951358,147.4070816333666,138.79035724129528,141.6758224623769,112.62527854562846,108.03962442931868,111.01944387793054,114.19223016192826,107.13309522450612,98.668664332467,101.76070003504346
2015,118.920320085494,107.86013565930665,123.18590658902228,117.86189995367488,135.38109071545514,129.0692767646955,131.040401297581,109.16685550513637,96.96389139914629,99.83982796715469,110.00514722649585,100.38270148277006,89.36540070046277,87.98915024603086
2016,106.77390249992112,98.80717696856426,112.58061196780405,110.05987585580046,123.82048346293885,118.90547498159434,117.7880022457859,95.7735402506821,88.68913865387974,92.47764312902655,98.46722037555342,88.11301217537637,81.64180239383097,85.74073934824384
2017,91.18025621956673,86.58285465871813,95.69637959671287,93.28944449901006,104.68697876474856,98.47185605440218,103.3153315547546,85.48902039720083,78.48276570304311,90.58347028926822,90.31476712615795,78.43644680049758,75.4409029898269,80.93488025963569
2018,85.84824469422618,84.38512943206361,86.87434278649958,84.80690477439795,98.87646506434919,91.99387119072401,96.9319125539602,80.27801901430654,76.05046435965654,79.92571259408975,76.39950559207759,71.3984433153263,72.49986907994318,82.91800664264072
2019,73.88376161084422,72.41781354394395,74.89131170605974,73.83896002781863,83.13889542830343,80.31907698940967,82.65359805627173,73.8642108432843,62.75530433839231,67.18801412414564,67.8215607795632,59.14216592128767,58.53509071676211,67.57156805228566
2020,66.35584003010645,66.44653076845175,67.8347450531701,68.11633576056433,74.45861893061642,71.49509596112053,74.39978108058148,69.00472585674802,57.32566373557348,59.40956268940019,58.97435866836236,54.90974322901812,52.84112983679287,59.29510464641186
2021,66.03241134451778,63.63221531827256,66.97576557686175,67.600282870999,66.74797493882592,68.18460539140032,71.45440686005364,64.27516265588345,61.11474814452949,65.54851185183934,61.68080851596732,57.53492331839616,58.71583524494621,58.45792697382465
2022,56.60550514506298,54.66782860208221,57.83004942551627,57.32576432890689,56.11225547781089,59.09071492075092,61.13514810816333,54.439878345960345,50.971976344476445,54.8196229207005,53.1722215550102,49.00497676278102,49.41988204387275,49.13900524791223
2023,67.91973395824219,65.50122571036395,67.97053760049856,68.6427175074881,69.80598511020595,73.74595868760308,73.9951476495461,66.3283918385645,61.21367064096717,65.41102147397434,66.0929297506194,60.08136120558825,60.468050075553116,58.33985133512514
