date,hour,type,东四,天坛,官园,万寿西宫,奥体中心,农展馆,万柳,北部新区,植物园,丰台花园,云岗,古城,房山,大兴,亦庄,通州,顺义,昌平,门头沟,平谷,怀柔,密云,延庆,定陵,八达岭,密云水库,东高村,永乐店,榆垡,琉璃河,前门,永定门内,西直门北,南三环,东四环
20141231,0,PM2.5,3.9,14.8,15.9,6,,9.1,4.7,12.5,11.3,10.7,5.2,12.7,12.5,14.3,9.2,18.4,9.8,15.4,5.8,5,5.9,3,6.6,7.7,13.8,4,6.4,16,13.5,7.8,6.8,10.1,8.6,17.8,11.5
20141231,0,PM2.5_24h,20.2,39.9,25.9,22,,35.8,19.6,38.1,25,33.4,42.1,28.2,85.2,77.7,56.9,81.6,16.8,15.7,30.2,24.9,11.6,8.3,25,16.8,36.6,4.1,13.7,168.4,124.3,118.9,42.4,49,31.7,46.6,44.7
20141231,0,PM10,141,235.9,105.1,111.7,,178.7,132.7,106.4,93.4,224.2,129.6,138.2,277.4,213.1,230,203.4,207.9,121.2,119.4,154.8,39.9,55.2,58.4,75.6,116.6,49.8,67.5,269.4,204.7,65.3,134.7,131.9,168.6,177.1,129.7
20141231,0,PM10_24h,68.9,111,70.2,77.7,,95.8,69.9,80.5,53.1,91.8,88.7,83.2,165.1,165.1,102.3,138.6,53.1,57.5,90.3,71.3,31.1,34,62,41.7,71.3,23.5,35.9,184.6,176.2,139.4,79.1,127.6,73.6,129.2,84.1
20141231,0,AQI,60,81,61,64,,73,60,66,52,71,70,67,113,108,78,109,52,54,71,61,32,34,56,42,61,24,36,219,164,156,65,89,62,90,68
20141231,1,PM2.5,3,7.5,8.9,7.7,,4.4,4.6,6.3,9.1,6.6,8.6,11.7,13.3,13.3,9.6,15,5.5,13.7,6.9,5.3,3,5.2,7,9.1,4.3,5.5,7.4,5.7,3.3,8.6,12.2,11.3,13,17.5,8.8
20141231,1,PM2.5_24h,18.1,33.8,24.6,19,,32.5,18.7,34.8,24.6,30.6,39.8,27.3,76.8,66.2,51.3,76.6,16.4,15.8,29.5,22.5,10.4,8.1,24.9,17,35.1,4.1,13.8,157.1,110,102.4,37.2,40.8,30.2,39.4,39.3
20141231,1,PM10,101.3,123.7,56.4,74.2,,121.4,76.6,92.1,66.8,72.8,119.6,66.2,178.5,243.5,129.6,127.8,97,108.5,199,152.5,25.8,46.5,49.5,58.4,81,37.9,66.3,143.5,109.5,88.7,79.9,94.4,99.9,94,87.9
20141231,1,PM10_24h,68.9,106.2,69.2,73.9,,95.3,70.5,79.8,54.2,88.9,88.8,85.6,158,157.6,100.2,135.8,56.5,61.1,96.6,73.7,30.7,34.9,63.1,43.5,72.7,23.8,38.6,175.2,160.3,134.3,75.3,118.8,75,123.4,79.6
20141231,1,AQI,60,79,60,62,,73,61,65,53,70,70,68,104,104,76,102,54,56,74,62,31,35,57,44,62,24,39,208,144,135,63,85,63,87,65
20141231,2,PM2.5,5,9.2,8.4,3.9,,8.6,5.9,7.5,9.6,7.9,9.1,7,13.6,10.4,7.8,11.2,3,7,7.9,5.2,4.9,4,3,6.8,10.9,3,6.3,10.5,7.3,13.4,9,15,11.9,12,9.8
20141231,2,PM2.5_24h,16.4,28.8,24.2,17.8,,30.4,17.9,32.4,23.3,29.3,38.5,26.3,66,55.3,47.8,73.5,15.9,15.6,29.1,21.2,10.2,8.1,24.6,17.1,34,4,13.9,138.7,97.1,90.9,33.5,34.6,29.8,35.4,35.2
20141231,2,PM10,83.7,85.7,73.1,79.3,,94.9,118.7,92.4,65.5,68.6,193.4,64.4,279.8,125.5,80.7,85.2,30.7,56.4,94.2,53.9,21.8,37.7,35.5,36.9,52.3,32.4,119.9,99,103.2,187.3,66.7,84.3,127.9,86.8,74.4
