date,hour,type,东城东四,东城天坛,西城官园,西城万寿西宫,朝阳奥体中心,朝阳农展馆,海淀万柳,海淀四季青,丰台小屯,丰台云岗,石景山古城,石景山老山,昌平镇,昌平南邵,定陵(对照点),延庆夏都,延庆石河营,怀柔镇,怀柔新城,密云镇,密云新城,平谷镇,平谷新城,顺义新城,顺义北小营,通州永顺,通州东关,大兴黄村,大兴旧宫,亦庄开发区,京东南区域点,门头沟双峪,门头沟三家店,房山良乡,房山燕山
20240414,0,PM2.5,55,60,49,53,54,63,50,42,52,56,53,49,59,,53,52,56,47,50,27,28,25,35,38,31,39,40,43,53,50,58,51,,46,43
20240414,0,PM2.5_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20240414,0,PM10,123,114,89,93,97,107,102,93,93,86,101,115,117,,99,85,78,72,69,49,50,59,58,69,70,76,74,109,94,88,61,103,,107,66
20240414,0,PM10_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20240414,0,AQI,87,82,70,73,74,85,76,72,72,77,76,83,84,,75,72,77,65,69,49,50,55,54,60,60,63,62,80,73,69,79,77,,79,60
20240414,1,PM2.5,51,60,50,51,47,51,53,43,54,64,57,54,56,,58,48,53,41,38,27,30,26,40,28,23,27,30,44,48,50,53,58,,58,46
20240414,1,PM2.5_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20240414,1,PM10,106,106,90,92,84,87,104,89,95,96,107,100,108,,109,77,75,64,56,51,54,51,65,51,54,60,57,110,87,93,56,117,,119,69
20240414,1,PM10_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20240414,1,AQI,78,82,70,71,67,70,77,70,74,87,79,75,79,,80,67,73,58,54,51,52,51,58,51,52,55,54,80,69,72,73,84,,85,64
20240414,2,PM2.5,45,56,49,49,39,43,53,49,54,69,61,56,45,,59,53,56,37,33,30,33,25,36,28,23,25,26,43,47,45,48,65,,57,57
20240414,2,PM2.5_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20240414,2,PM10,91,90,86,87,71,76,100,84,94,102,112,103,89,,106,81,79,56,52,56,59,49,62,53,57,51,50,105,82,78,,124,,121,83
20240414,2,PM10_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20240414,2,AQI,71,77,68,69,61,63,75,68,74,93,83,77,70,,80,73,77,53,51,53,55,49,56,52,54,51,50,78,66,64,67,88,,86,78
20240414,3,PM2.5,46,53,48,48,37,38,52,51,54,70,62,56,38,,57,59,63,36,33,29,32,23,32,30,23,26,27,48,46,41,40,69,,63,63
20240414,3,PM2.5_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20240414,3,PM10,89,82,84,84,67,70,95,91,94,102,111,99,74,,99,89,88,55,52,54,62,55,55,56,59,53,53,113,78,80,,125,,119,91
20240414,3,PM10_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20240414,3,AQI,70,73,67,67,59,60,73,71,74,94,84,77,62,,78,80,85,53,51,52,56,53,53,53,55,52,52,82,64,65,57,93,,85,85
20240414,4,PM2.5,43,48,48,50,36,36,55,54,64,70,68,59,34,,48,65,66,35,33,33,34,25,33,29,,28,29,54,46,38,36,73,,61,54
20240414,4,PM2.5_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20240414,4,PM10,83,72,85,86,66,68,97,87,108,105,118,97,67,,87,95,87,56,53,61,64,55,56,51,,51,55,112,76,74,36,124,,103,78
20240414,4,PM10_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20240414,4,AQI,67,67,68,69,58,59,75,74,87,94,92,80,59,,69,88,89,53,52,56,57,53,53,51,,51,53,81,64,62,52,98,,83,74
20240414,5,PM2.5,43,45,50,48,40,39,63,66,70,68,71,60,34,,52,62,65,35,34,32,35,33,41,31,,30,30,48,45,36,31,72,,57,47
20240414,5,PM2.5_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20240414,5,PM10,80,64,87,82,72,73,108,85,115,103,118,92,67,,90,89,83,57,53,58,67,54,69,53,,49,56,89,73,71,34,115,,93,69
20240414,5,PM10_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20240414,5,AQI,65,63,69,67,61,62,85,89,94,92,95,82,59,,72,84,88,54,52,54,59,52,60,52,,49,53,70,63,61,45,97,,78,65
20240414,6,PM2.5,45,48,50,53,40,38,60,65,61,65,68,58,35,,60,63,65,35,34,35,34,37,44,34,,32,32,36,45,37,29,66,,51,47
20240414,6,PM2.5_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20240414,6,PM10,80,64,86,87,71,69,99,93,97,98,108,89,66,,101,88,81,54,53,61,62,61,73,55,,55,58,56,72,57,32,114,,77,70
20240414,6,PM10_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20240414,6,AQI,65,67,69,73,61,60,82,88,83,88,92,79,58,,82,85,88,52,52,56,56,56,62,53,,53,54,53,63,54,42,89,,70,65
20240414,7,PM2.5,39,46,45,49,35,36,48,55,49,55,60,49,34,,57,60,61,38,37,40,43,39,49,35,,31,31,33,40,34,35,61,,41,47
20240414,7,PM2.5_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20240414,7,PM10,67,59,77,77,63,67,78,79,78,77,95,81,64,,94,84,74,58,56,67,75,56,78,55,,49,55,52,62,53,,104,,74,70
20240414,7,PM10_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20240414,7,AQI,59,64,64,68,57,59,67,75,68,75,82,68,57,,78,82,83,54,53,59,63,55,68,53,,49,53,51,57,52,50,83,,62,65
20240414,8,PM2.5,37,46,38,43,32,37,38,42,40,41,47,39,33,,47,56,60,39,35,38,39,45,55,39,,33,33,33,36,35,37,44,,39,39
20240414,8,PM2.5_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20240414,8,PM10,63,57,65,66,56,66,61,65,63,43,74,73,66,,76,78,70,57,57,62,66,69,88,61,,57,58,59,56,50,38,97,,67,58
20240414,8,PM10_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20240414,8,AQI,57,64,58,60,53,58,56,59,57,58,65,62,58,,65,77,82,55,54,56,58,63,75,56,,54,54,55,53,50,53,74,,59,55
20240414,9,PM2.5,39,48,37,41,33,38,36,39,37,39,44,35,32,,40,49,51,41,38,39,39,50,61,46,,37,38,30,38,38,49,43,,35,35
20240414,9,PM2.5_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20240414,9,PM10,65,57,62,62,56,66,58,48,59,41,69,73,66,,66,68,60,58,61,62,66,79,100,68,,57,64,55,59,60,51,78,,63,53
20240414,9,PM10_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20240414,9,AQI,58,67,56,58,53,58,54,55,55,55,62,62,58,,58,68,70,58,56,56,58,69,83,64,,54,57,53,55,55,68,64,,57,52
20240414,10,PM2.5,41,47,36,38,36,41,38,39,38,38,44,34,35,,41,46,47,44,43,41,38,52,62,52,,40,42,28,37,38,45,43,,35,35
20240414,10,PM2.5_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20240414,10,PM10,68,55,59,58,59,69,61,54,59,42,67,63,69,,67,64,55,63,65,62,63,92,102,73,,67,71,57,55,60,,70,,76,54
20240414,10,PM10_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20240414,10,AQI,59,65,55,54,55,60,56,55,55,54,62,57,60,,59,64,65,62,60,58,57,72,84,72,,59,61,54,53,55,63,60,,63,52
20240414,11,PM2.5,44,48,38,38,39,45,39,37,39,38,45,33,39,,39,45,47,50,48,46,41,54,67,52,,41,45,29,36,39,53,45,,32,37
20240414,11,PM2.5_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20240414,11,PM10,73,55,61,60,64,73,63,58,61,44,69,69,74,,62,63,55,70,73,71,66,93,112,85,,71,75,59,53,67,,60,,68,55
20240414,11,PM10_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20240414,11,AQI,62,67,56,55,57,63,57,54,56,54,63,60,62,,56,63,65,69,67,64,58,74,90,72,,61,63,55,52,59,73,63,,59,53
20240414,12,PM2.5,46,51,38,39,42,47,39,35,39,37,45,32,42,,40,46,46,54,49,52,47,59,70,50,,41,48,28,34,37,47,44,,33,39
20240414,12,PM2.5_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20240414,12,PM10,76,60,64,60,68,76,64,60,61,47,70,56,79,,62,63,54,76,77,77,75,104,113,83,2,63,78,62,50,54,,66,,70,57
20240414,12,PM10_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20240414,12,AQI,64,70,57,55,59,65,57,55,56,53,63,53,65,,57,64,64,74,68,72,65,80,94,69,2,58,67,56,50,53,65,62,,60,55
20240414,13,PM2.5,46,47,40,,43,48,38,32,39,38,44,31,46,,44,45,48,57,52,52,48,55,68,54,55,41,49,28,35,38,48,42,,31,40
20240414,13,PM2.5_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20240414,13,PM10,76,56,67,,69,76,64,52,59,47,67,70,84,,64,62,55,79,80,76,75,93,108,84,,71,77,64,51,54,49,67,,56,56
20240414,13,PM10_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20240414,13,AQI,64,65,59,5,60,67,57,51,55,54,62,60,67,,62,63,67,78,72,72,67,75,92,74,75,61,68,57,51,54,67,59,,53,57
20240414,14,PM2.5,50,49,38,38,44,51,36,29,36,40,43,30,47,,44,43,45,59,57,49,51,40,57,58,57,40,49,27,33,44,54,41,,29,40
20240414,14,PM2.5_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20240414,14,PM10,81,58,65,59,73,83,62,61,54,47,66,59,89,,63,58,50,81,85,71,79,72,91,85,,66,76,65,49,80,,66,,62,57
20240414,14,PM10_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20240414,14,AQI,69,68,58,55,62,70,56,56,52,57,60,55,70,,62,60,63,80,78,68,70,61,78,79,78,58,68,58,49,65,74,58,,56,57
20240414,15,PM2.5,54,57,42,44,47,51,37,27,32,37,40,27,46,,45,35,37,62,59,48,47,33,43,55,52,39,48,24,42,43,42,38,,23,40
20240414,15,PM2.5_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20240414,15,PM10,85,66,71,67,77,84,65,53,48,44,61,57,87,,63,46,41,84,85,69,74,69,68,78,,72,75,56,63,82,,68,,58,58
20240414,15,PM10_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20240414,15,AQI,74,78,61,62,65,70,58,52,48,53,57,54,69,,63,50,53,84,80,67,65,60,60,75,72,61,67,53,59,66,59,59,,54,57
20240414,16,PM2.5,49,51,43,44,44,46,41,35,40,29,38,31,47,,46,27,28,55,50,43,43,34,45,41,39,27,35,28,32,34,32,28,,24,35
20240414,16,PM2.5_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20240414,16,PM10,77,60,72,67,73,74,75,65,64,36,60,62,88,,65,36,31,72,72,63,67,61,68,58,,53,57,84,49,75,,68,,56,53
20240414,16,PM10_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20240414,16,AQI,68,70,61,62,62,64,63,58,57,42,55,56,69,,64,39,40,75,69,60,60,56,63,58,55,52,54,67,49,63,46,59,,53,52
20240414,17,PM2.5,36,37,33,31,33,33,36,33,36,39,44,32,44,,50,28,29,43,39,34,36,35,47,41,41,22,27,22,24,25,36,40,,30,27
20240414,17,PM2.5_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20240414,17,PM10,56,46,58,49,55,54,68,74,59,50,69,78,84,,70,37,32,53,56,54,57,82,72,65,,48,46,75,38,65,,63,,70,41
20240414,17,PM10_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20240414,17,AQI,53,53,54,49,53,52,59,62,55,55,62,64,67,,69,40,42,60,55,52,54,66,65,58,58,48,46,63,38,58,52,57,,60,41
20240414,18,PM2.5,30,33,26,26,27,30,28,26,28,30,37,27,33,,44,42,46,46,43,34,36,29,40,30,32,21,26,18,25,24,40,33,,21,29
20240414,18,PM2.5_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20240414,18,PM10,50,43,52,42,47,51,55,67,49,41,59,80,62,,59,55,51,58,63,58,54,71,64,51,,49,48,65,39,60,41,83,,51,45
20240414,18,PM10_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20240414,18,AQI,50,48,51,42,47,51,53,59,49,43,55,65,56,,62,59,64,64,60,54,52,61,57,51,46,49,48,58,39,55,57,67,,51,45
