date,hour,type,东城区,西城区,朝阳区,海淀区,丰台区,石景山区,房山区,大兴区,通州区,顺义区,昌平区,门头沟区,平谷区,怀柔区,密云区,延庆区
20140402,0,NO2,84.75,82.5,82.33333333333333,82.0,77.0,88.0,92.5,78.33333333333333,75.0,39.0,15.5,69.0,44.0,38.0,21.0,41.0
20140402,1,NO2,84.75,82.5,82.33333333333333,82.0,77.0,88.0,92.5,78.33333333333333,75.0,39.0,15.5,69.0,44.0,38.0,21.0,41.0
20140402,2,NO2,84.75,82.5,82.33333333333333,82.0,77.0,88.0,92.5,78.33333333333333,75.0,39.0,15.5,69.0,44.0,38.0,21.0,41.0
20140402,3,NO2,84.75,82.5,82.33333333333333,82.0,77.0,88.0,92.5,78.33333333333333,75.0,39.0,15.5,69.0,44.0,38.0,21.0,41.0
20140402,4,NO2,84.75,82.5,82.33333333333333,82.0,77.0,88.0,92.5,78.33333333333333,75.0,39.0,15.5,69.0,44.0,38.0,21.0,41.0
20140402,5,NO2,84.75,82.5,82.33333333333333,82.0,77.0,88.0,92.5,78.33333333333333,75.0,39.0,15.5,69.0,44.0,38.0,21.0,41.0
20140402,6,NO2,84.75,82.5,82.33333333333333,82.0,77.0,88.0,92.5,78.33333333333333,75.0,39.0,15.5,69.0,44.0,38.0,21.0,41.0
20140402,7,NO2,84.75,82.5,82.33333333333333,82.0,77.0,88.0,92.5,78.33333333333333,75.0,39.0,15.5,69.0,44.0,38.0,21.0,41.0
20140402,8,NO2,84.75,82.5,82.33333333333333,82.0,77.0,88.0,92.5,78.33333333333333,75.0,39.0,15.5,69.0,44.0,38.0,21.0,41.0
20140402,9,NO2,84.75,82.5,82.33333333333333,82.0,77.0,88.0,92.5,78.33333333333333,75.0,39.0,15.5,69.0,44.0,38.0,21.0,41.0
20140402,10,NO2,84.75,82.5,82.33333333333333,82.0,77.0,88.0,92.5,78.33333333333333,75.0,39.0,15.5,69.0,44.0,38.0,21.0,41.0
20140402,11,NO2,56.25,45.333333333333336,61.0,59.666666666666664,76.66666666666667,51.0,60.0,66.0,61.0,35.0,8.0,30.0,41.0,23.0,14.5,36.0
20140402,12,NO2,46.75,32.666666666666664,41.666666666666664,44.5,60.333333333333336,29.0,40.0,48.333333333333336,53.0,39.5,9.0,19.0,34.0,18.0,12.0,30.5
20140402,13,NO2,43.25,25.333333333333332,42.333333333333336,30.0,21.5,26.0,33.5,36.666666666666664,35.0,37.5,10.0,25.0,34.0,16.0,12.5,24.0
20140402,14,NO2,48.75,28.666666666666668,47.0,28.666666666666668,64.0,24.0,39.5,29.333333333333332,35.5,25.0,10.0,26.0,19.0,17.0,10.5,17.5
20140402,15,NO2,51.5,34.333333333333336,49.333333333333336,31.333333333333332,68.0,31.0,43.5,36.333333333333336,29.5,60.5,9.0,21.0,17.0,15.0,9.0,18.5
20140402,16,NO2,47.0,32.333333333333336,48.333333333333336,38.666666666666664,68.0,38.0,49.0,35.666666666666664,36.5,56.0,9.5,31.0,17.0,20.0,9.5,20.5
20140402,17,NO2,62.25,46.0,62.0,43.666666666666664,37.0,42.0,52.5,46.666666666666664,37.0,46.5,20.5,32.0,41.0,27.0,14.0,29.0
20140402,18,NO2,67.75,56.0,67.66666666666667,59.333333333333336,52.5,62.0,66.0,43.0,37.0,41.0,34.0,48.0,43.0,42.0,31.0,43.0
20140402,19,NO2,66.75,61.333333333333336,74.66666666666667,69.33333333333333,90.66666666666667,72.0,54.5,41.0,42.5,38.0,39.0,63.0,38.0,44.0,35.5,61.5
20140402,20,NO2,46.5,55.5,61.0,75.0,57.5,71.0,42.0,49.5,58.0,39.0,49.0,67.0,42.0,49.5,30.5,67.0
20140402,21,NO2,71.5,64.66666666666667,79.66666666666667,75.66666666666667,89.66666666666667,56.0,48.5,53.333333333333336,53.5,42.5,44.0,52.0,36.0,55.0,25.5,72.5
20140402,22,NO2,70.0,58.0,71.33333333333333,68.66666666666667,82.0,81.0,58.5,53.333333333333336,65.5,55.0,44.5,46.0,38.0,61.0,28.5,91.5
20140402,23,NO2,57.25,56.0,72.33333333333333,67.0,58.5,91.0,52.0,49.333333333333336,53.5,55.0,47.0,53.0,40.0,49.0,28.5,98.0
20140403,0,NO2,56.0,51.666666666666664,77.0,70.0,75.66666666666667,81.0,53.0,42.666666666666664,59.5,64.0,58.0,75.0,42.0,61.0,28.5,76.0
20140403,1,NO2,51.0,54.333333333333336,63.333333333333336,67.66666666666667,65.0,80.0,43.5,36.0,42.5,68.0,56.0,65.0,46.0,75.0,28.5,24.0
20140403,2,NO2,54.75,57.666666666666664,77.33333333333333,75.66666666666667,86.5,81.0,48.5,43.0,58.5,68.5,46.0,81.0,37.0,83.0,16.5,6.5
20140403,3,NO2,54.75,63.666666666666664,63.666666666666664,81.33333333333333,83.66666666666667,103.0,65.0,52.666666666666664,59.0,61.5,13.5,79.0,49.0,38.0,2.5,6.0
20140403,4,NO2,70.0,70.66666666666667,81.66666666666667,62.0,88.0,90.0,55.5,46.333333333333336,49.0,51.0,3.0,49.0,41.0,8.0,2.5,6.0
20140403,5,NO2,59.5,38.0,98.0,34.0,74.0,84.0,74.0,55.0,56.0,18.0,5.5,2.0,24.5,10.0,2.0,7.0
20140403,6,NO2,46.75,45.333333333333336,72.66666666666667,38.0,60.666666666666664,16.0,80.0,72.0,58.5,14.5,4.5,4.0,8.0,14.0,3.0,24.5
20140403,7,NO2,44.5,45.0,45.333333333333336,35.0,66.33333333333333,22.0,78.5,67.33333333333333,51.5,22.0,12.5,29.0,17.0,19.0,7.5,32.5
20140403,8,NO2,44.25,46.666666666666664,33.333333333333336,29.666666666666668,76.33333333333333,29.0,75.5,51.0,47.5,38.0,21.0,12.0,25.0,17.0,9.0,30.5
20140403,9,NO2,30.0,35.333333333333336,23.333333333333332,23.333333333333332,56.0,23.0,43.0,39.0,39.0,17.0,13.0,3.0,14.0,12.0,9.0,22.0
20140403,10,NO2,25.0,25.666666666666668,19.666666666666668,26.0,42.0,13.0,28.0,22.0,26.0,14.5,9.0,2.0,11.0,10.0,3.5,18.0
20140403,11,NO2,21.5,23.0,15.666666666666666,16.0,37.0,12.0,24.0,14.666666666666666,13.0,11.0,5.0,2.0,10.0,9.0,2.0,10.5
20140403,12,NO2,20.0,19.666666666666668,11.0,13.666666666666666,27.333333333333332,12.0,23.0,11.666666666666666,12.0,10.0,4.5,2.0,8.0,8.0,2.0,9.5
20140403,13,NO2,18.5,17.0,8.666666666666666,10.0,26.666666666666668,11.0,21.0,9.0,12.0,9.0,4.5,2.0,6.0,10.0,2.0,8.5
20140403,14,NO2,21.25,18.333333333333332,9.0,9.0,10.5,8.0,19.5,9.333333333333334,17.0,11.0,4.0,2.0,4.0,11.0,2.0,7.5
20140403,15,NO2,21.75,16.333333333333332,11.666666666666666,9.0,31.0,11.0,18.0,9.333333333333334,15.0,12.0,4.5,2.0,5.0,12.0,2.0,8.0
20140403,16,NO2,24.25,20.0,18.333333333333332,8.666666666666666,11.5,11.0,17.5,12.0,17.0,12.0,4.5,2.0,5.0,13.0,2.0,7.5
20140403,17,NO2,33.0,18.333333333333332,29.333333333333332,6.666666666666667,16.0,15.0,17.5,16.666666666666668,18.0,10.0,5.0,3.0,5.0,15.0,2.0,10.0
20140403,18,NO2,46.0,30.0,38.333333333333336,8.666666666666666,49.333333333333336,18.0,25.0,24.0,20.5,8.0,5.0,9.0,8.0,17.0,3.0,9.0
20140403,19,NO2,55.5,40.666666666666664,57.0,23.0,69.33333333333333,33.0,34.5,31.333333333333332,31.5,15.5,8.5,18.0,13.0,24.0,6.0,16.0
20140403,20,NO2,64.75,47.0,70.33333333333333,41.0,47.5,76.0,44.5,44.666666666666664,59.5,22.5,13.5,46.0,39.0,31.0,9.0,42.0
20140403,21,NO2,76.75,67.0,83.0,64.0,85.33333333333333,109.0,64.0,47.666666666666664,91.0,35.0,28.0,46.0,45.0,44.0,17.0,46.0
20140403,22,NO2,81.75,86.33333333333333,89.33333333333333,66.33333333333333,80.5,102.0,73.5,55.666666666666664,97.5,58.5,44.5,73.0,39.0,28.0,25.0,61.0
20140403,23,NO2,69.25,88.0,85.33333333333333,66.66666666666667,87.33333333333333,84.0,51.5,39.333333333333336,64.5,65.5,38.0,70.0,39.0,21.0,36.0,42.0
20140404,0,NO2,50.25,61.0,64.0,75.33333333333333,61.333333333333336,66.0,39.5,30.333333333333332,49.0,59.5,37.0,58.0,47.0,73.0,34.5,48.0
20140404,1,NO2,42.25,45.0,50.0,58.333333333333336,43.5,58.0,39.0,26.0,53.5,46.5,39.0,45.0,53.0,82.0,50.0,48.0
20140404,2,NO2,34.25,39.0,38.0,51.0,49.666666666666664,70.0,39.5,27.666666666666668,47.5,35.5,48.0,52.0,59.0,70.0,43.0,41.0
20140404,3,NO2,36.75,41.0,41.0,54.0,54.333333333333336,72.0,42.5,26.333333333333332,47.5,32.0,45.0,50.0,37.0,67.5,37.5,55.0
20140404,4,NO2,37.333333333333336,46.666666666666664,42.0,57.333333333333336,48.0,70.0,43.0,28.333333333333332,54.0,37.0,36.0,53.5,61.0,65.0,35.0,36.0
20140404,5,NO2,38.25,47.333333333333336,48.333333333333336,57.5,46.5,74.0,42.0,29.5,50.0,26.0,34.5,57.0,62.0,60.0,32.0,36.25
20140404,6,NO2,47.25,54.333333333333336,49.666666666666664,58.333333333333336,57.666666666666664,76.0,47.5,31.666666666666668,56.5,48.0,36.5,59.0,66.0,55.0,40.5,36.5
