year,朝阳区,海淀区,丰台区,石景山区,房山区,大兴区,通州区,顺义区,昌平区,门头沟区,平谷区,怀柔区,密云区,延庆区
2014,67.53584183155029,49.93364785350004,73.07077555135182,58.49255784586335,52.56114497249416,48.34623641962881,53.7941025533589,39.805211088397265,33.69958613890052,43.90342294801412,36.60977281066045,32.65577622000235,22.321712444612686,42.25627262927467
2015,62.9809119763292,47.45515059602272,65.79330760294633,49.76320763118372,51.15140701734661,49.49274999495276,54.74528232361075,38.39002801210819,34.7333974826148,38.573579445047656,33.224052541124244,28.37427649660745,24.307555901011792,36.495112153729416
2016,55.05859420157888,51.0026301768301,61.830787550061864,49.53147492139601,54.55197915320708,47.851927155312865,56.0497335938173,34.54237650770778,35.39622236805392,35.13799708594098,30.075062031138227,27.18549200523964,21.37916210503721,37.77598917720494
2017,53.22149537592316,43.44675818535456,55.86847419087857,49.67332920839914,50.14043683120358,43.55020622079066,51.42123184445068,34.58505746128139,32.478847349911184,41.039946229231944,29.835439482996705,26.41536895938559,26.252862176324125,41.11670174728922
2018,52.78970095989617,41.95703079180283,51.66278430161253,45.994584184643834,41.281295477181466,44.520709750267095,45.76842253909783,29.518034239044393,28.19241224671791,36.91679051625848,25.78053752611579,24.5993663379454,22.87552245851973,36.976184499498494
2019,47.34071565264628,37.93247686032894,45.08787724794242,37.41847868831338,33.42937415667823,37.927945326022915,41.14340705073075,32.02025919517174,24.40111414771718,31.623560786056757,24.524296391539114,24.166717878889234,19.751590854274436,33.85845233333913
2020,38.51891609002447,30.994457226188285,37.516659765211095,28.759977381489293,28.69173767158996,31.862243209059983,34.12264346141955,29.685690033780592,18.232451154602614,25.08513863848272,20.249611619143327,18.262691220598196,16.332055771611063,27.68091774076869
2021,32.862564292110974,29.97523289749792,27.83083365554359,28.939113526451504,25.298276637840274,30.917974259724314,32.91666363519686,24.722434497119256,18.481303296552795,24.227063043111375,17.10036846392232,17.063108780001098,18.998623680917255,17.887274495974278
2022,30.930634699236922,28.916173307241454,26.0915575132216,28.500267106621887,23.87123551575164,30.407331440657455,30.585549582775062,22.643989309601512,18.146827653356237,22.780025452008314,16.25380695727039,15.721894480144142,17.86107378565952,15.843658952590031
2023,33.7454946520234,30.628538122868225,29.36541335788124,29.649787009647607,25.431906264411733,32.510490470407426,32.04958055038255,23.598949650833106,17.657920223532884,23.604401458149635,17.64542965543401,17.04547780180786,19.582943400370358,17.313064566933967
