date,hour,type,东城区,西城区,朝阳区,海淀区,丰台区,石景山区,房山区,大兴区,通州区,顺义区,昌平区,门头沟区,平谷区,怀柔区,密云区,延庆区
20170101,23,PM10,512.5,526.0,461.5,507.6666666666667,480.3333333333333,594.0,446.0,390.3333333333333,409.0,476.0,572.0,615.0,547.0,661.0,581.0,246.0
20170102,1,PM10,517.0,500.0,468.3333333333333,523.0,468.0,609.0,505.0,370.0,479.0,532.0,518.0,563.6363636363636,547.0,550.0,488.0,104.0
20170102,2,PM10,527.5,479.0,469.5,504.0,442.3333333333333,579.1,422.5,372.6666666666667,480.0,456.0,480.15384615384613,512.2727272727273,547.0,449.0,423.0,43.0
20170102,3,PM10,459.0,465.0,445.0,415.0,436.0,549.2,418.75,340.3333333333333,450.0,442.0,442.3076923076923,460.9090909090909,547.0,342.0,342.0,42.0
20170102,4,PM10,428.0,438.0,423.44444444444446,391.0,419.7,519.3,415.0,287.0,420.0,399.0,404.46153846153845,409.5454545454545,547.0,273.0,273.0,32.0
20170102,5,PM10,386.4,411.0,401.8888888888889,367.0,403.4,489.4,396.9,312.0,390.0,369.8,366.61538461538464,358.1818181818182,547.0,313.0,313.0,35.0
20170102,7,PM10,303.2,357.0,358.77777777777777,319.0,370.8,429.6,360.7,295.0,330.0,311.4,290.9230769230769,255.45454545454544,547.0,302.0,283.0,35.0
20170102,9,PM10,220.0,303.0,315.66666666666663,271.0,394.0,369.8,324.5,302.0,270.0,253.0,215.23076923076923,152.7272727272727,547.0,291.0,253.0,35.0
20170102,10,PM10,319.0,457.0,294.1111111111111,247.0,450.0,339.90000000000003,306.4,319.0,240.0,223.8,177.38461538461536,101.36363636363637,547.0,280.0,223.0,36.0
20170102,11,PM10,479.0,123.0,272.55555555555554,223.0,427.54545454545456,310.0,288.29999999999995,344.0,216.2,194.6,139.53846153846155,50.0,547.0,269.0,193.0,31.5
20170102,13,PM10,314.0,267.5,243.75,241.0,382.6363636363636,333.0,252.1,325.0,168.6,136.2,63.84615384615381,161.69230769230768,547.0,258.0,163.0,49.5
20170102,14,PM10,305.0,266.0,236.5,283.0,360.1818181818182,310.4,234.0,325.0,144.8,107.0,26.0,169.3846153846154,547.0,247.0,133.0,40.0
20170102,16,PM10,267.0,249.42857142857142,255.0,291.0,315.27272727272725,265.2,240.0,285.25,121.0,170.0,208.5,177.07692307692307,547.0,236.0,103.0,52.0
20170102,17,PM10,255.7,241.14285714285714,264.25,269.0,292.8181818181818,242.6,250.25,265.375,140.0,233.0,225.0,184.76923076923077,547.0,225.0,73.0,56.0
20170102,18,PM10,244.4,232.85714285714286,273.5,204.0,270.3636363636364,220.0,260.5,245.5,159.0,231.23809523809524,226.0,192.46153846153845,547.0,214.0,183.0,60.0
20170102,19,PM10,233.1,224.57142857142856,282.75,206.0,247.90909090909093,211.33333333333334,270.75,344.0,178.0,229.47619047619048,223.8,200.15384615384616,547.0,307.0,197.0,122.0
20170102,20,PM10,221.8,216.28571428571428,292.0,197.25,225.45454545454547,202.66666666666666,281.0,362.6666666666667,197.0,227.71428571428572,221.6,207.84615384615384,547.0,313.0,313.0,127.0
20170102,21,PM10,210.5,208.0,301.25,188.5,203.0,194.0,360.0,383.0,216.0,225.95238095238096,219.4,215.53846153846155,547.0,352.0,352.0,133.5
20170102,22,PM10,235.5,221.0,310.5,179.75,348.0,221.0,439.0,394.3333333333333,235.0,224.1904761904762,217.2,223.23076923076923,547.0,281.0,252.0,133.5
20170102,23,PM10,264.5,250.25,319.75,171.0,342.0,216.72727272727272,442.5,432.5,254.0,222.42857142857142,215.0,230.9230769230769,547.0,210.0,241.0,158.0
20170103,1,PM10,358.0,309.0,343.0,261.875,419.5,208.1818181818182,455.0,454.0,273.0,220.66666666666666,283.0,238.6153846153846,547.0,202.875,251.0,96.0
20170103,2,PM10,352.5,346.5,381.0,261.75,435.5,203.9090909090909,435.0,444.5,292.0,218.9047619047619,265.85714285714283,246.30769230769232,547.0,195.75,237.0,87.0
20170103,3,PM10,394.0,285.0,389.0,261.625,440.0,199.63636363636363,439.0,447.5,311.0,217.14285714285714,248.71428571428572,254.0,547.0,188.625,223.0,69.0
20170103,4,PM10,391.0,287.3333333333333,387.0,261.5,415.5,195.36363636363637,416.5,436.0,330.0,215.38095238095238,231.57142857142856,261.6923076923077,547.0,181.5,209.0,114.0
20170103,5,PM10,420.5,289.6666666666667,395.0,261.375,391.0,191.0909090909091,394.0,438.5,349.0,213.61904761904762,214.42857142857144,269.38461538461536,547.0,174.375,195.0,116.0
20170103,7,PM10,359.0,309.0,376.0,261.125,342.0,182.54545454545456,349.0,437.3333333333333,387.0,210.0952380952381,180.14285714285714,284.7692307692308,547.0,167.25,181.0,123.0
20170103,9,PM10,340.0,343.0,351.5,218.0,301.0,174.0,304.0,508.5,425.0,206.57142857142858,181.0,300.1538461538462,547.0,160.125,167.0,142.0
20170103,10,PM10,304.5,353.0,347.0,214.2,449.0,199.0,310.6666666666667,529.0,444.0,204.8095238095238,339.0,307.8461538461538,547.0,153.0,153.0,162.0
20170103,11,PM10,317.0,237.0,350.75,210.4,319.0,210.75,317.3333333333333,545.0,463.0,203.04761904761904,170.0,315.53846153846155,547.0,142.5,142.5,141.5
20170103,13,PM10,323.0,279.0,358.25,202.8,301.0,234.25,372.5,514.0,501.0,199.52380952380952,271.0,330.9230769230769,547.0,132.0,132.0,97.5
20170103,14,PM10,274.5,288.0,362.0,199.0,292.0,246.0,421.0,520.3333333333334,520.0,197.76190476190476,236.5,338.61538461538464,547.0,121.5,121.5,56.0
20170103,16,PM10,399.0,418.5,354.0,222.0,534.0,458.0,518.0,385.0,539.0,196.0,202.0,346.3076923076923,547.0,111.0,111.0,42.0
20170103,17,PM10,413.0,402.5,367.5,381.0,492.0,600.0,610.0,450.0,558.0,563.0,208.0,354.0,547.0,117.0,139.0,44.5
20170103,18,PM10,484.5,485.0,381.0,332.6666666666667,513.0,453.0,664.5,579.0,577.0,544.0,206.0,424.0,539.560975609756,172.0,178.0,90.5
20170103,19,PM10,591.5,572.5,441.5,358.5,628.0,489.0,723.5,623.6666666666666,596.0,528.5,214.0,440.0,532.1219512195122,227.0,400.0,109.0
20170103,20,PM10,634.5,624.0,499.0,427.0,699.3333333333334,654.0,778.0,643.6666666666666,659.0,513.0,222.0,365.0,524.6829268292682,354.0,275.0,111.5
20170103,21,PM10,654.0,650.5,544.6666666666666,388.6666666666667,688.3333333333334,728.0,803.0,677.6666666666666,665.0,543.0,410.0,555.0,517.2439024390244,395.0,250.0,81.5
20170103,22,PM10,695.0,673.0,592.5,435.5,711.0,720.0,791.5,659.0,652.0,530.0,386.3333333333333,726.0,509.8048780487805,381.0,381.0,87.0
20170103,23,PM10,716.0,644.6666666666666,538.0,422.5,724.6666666666666,805.0,683.0,490.5,636.0,523.0,362.6666666666667,684.5384615384615,502.3658536585366,268.0,268.0,128.0
20170104,1,PM10,789.5,775.0,592.5,551.0,766.3333333333334,801.0,742.0,546.0,598.0,534.0,339.0,643.0769230769231,494.9268292682927,323.0,323.0,74.0
20170104,2,PM10,800.0,765.0,601.0,545.5,769.3333333333334,724.0,632.0,567.5,544.0,525.0,315.3333333333333,601.6153846153846,487.4878048780488,256.0,256.0,76.0
20170104,3,PM10,724.25,733.5,610.0,686.0,712.3333333333334,689.0,620.0,597.0,534.0,542.0,291.66666666666663,560.1538461538462,480.0487804878049,153.0,199.0,51.0
20170104,4,PM10,711.6666666666666,655.0,616.0,534.0,704.3333333333334,610.0,639.0,564.0,568.0,628.0,268.0,518.6923076923077,472.609756097561,154.375,156.75,61.0
20170104,5,PM10,717.5,575.0,607.3333333333334,487.0,610.5,535.4,520.5,620.5,582.0,573.1428571428571,244.33333333333331,477.2307692307692,465.1707317073171,155.75,114.5,59.0
20170104,7,PM10,632.0,280.0,611.5,467.0,618.0,386.20000000000005,535.5,559.5,578.0,463.42857142857144,197.0,394.3076923076923,450.29268292682923,157.125,72.25,65.0
20170104,9,PM10,655.0,296.0,342.0,237.0,400.5,237.0,642.0,556.5,526.625,353.7142857142857,100.5,311.3846153846154,435.4146341463414,158.5,30.0,104.0
20170104,10,PM10,611.5,405.0,469.0,332.0,468.3333333333333,318.0,622.0,536.5,500.9375,298.8571428571429,151.0,269.92307692307696,427.9756097560976,159.875,101.66666666666667,114.0
20170104,11,PM10,554.0,559.0,343.0,350.0,536.1666666666666,399.0,564.0,470.0,475.25,244.0,165.0,228.46153846153845,420.5365853658536,161.25,173.33333333333334,125.5
20170104,13,PM10,320.0,6.0,317.0,328.6666666666667,509.0,525.0,514.7692307692307,435.5,423.875,260.0,141.33333333333334,285.0,413.0975609756098,162.625,245.0,147.0
20170104,14,PM10,393.0,179.75,334.25,294.3333333333333,414.0,690.0,490.15384615384613,404.0,398.1875,268.0,129.5,383.0,405.6585365853658,164.0,216.0,132.0
20170104,16,PM10,348.0,313.0,355.375,282.25,406.0,577.3333333333334,440.9230769230769,553.0,372.5,276.0,198.0,494.0,398.219512195122,251.0,257.0,117.0
20170104,17,PM10,387.0,408.0,359.25,304.5,488.0,521.0,416.30769230769226,309.0,346.8125,284.0,251.0,595.0,390.780487804878,290.0,300.0,107.5
20170104,18,PM10,368.5,364.5,363.125,335.5,497.0,613.0,391.6923076923077,332.0,321.125,292.0,271.0,613.0,383.3414634146342,311.0,278.5,122.5
20170104,19,PM10,404.0,390.5,367.0,387.0,506.0,679.0,367.0769230769231,403.5,295.4375,300.0,294.0,643.0,375.9024390243902,303.0,288.5,130.5
20170104,20,PM10,401.5,415.0,403.0,393.5,469.1666666666667,682.0,342.46153846153845,470.0,269.75,361.0,284.5,569.0,368.4634146341463,345.0,352.0,145.0
20170104,21,PM10,419.5,406.5,376.0,576.0,432.3333333333333,597.0,317.8461538461538,418.0,244.0625,316.5,275.0,344.0,361.0243902439024,476.0,439.0,153.5
20170104,22,PM10,435.0,389.0,357.0,495.0,395.5,525.0,293.2307692307692,303.0,218.375,272.0,318.0,589.0,353.5853658536585,479.0,448.0,175.0
20170104,23,PM10,346.0,339.0,338.0,419.75,358.66666666666663,453.0,268.6153846153846,289.0,192.6875,239.0,381.0,520.5,346.1463414634146,444.0,316.0,221.0
