year,朝阳区,海淀区,丰台区,石景山区,房山区,大兴区,通州区,顺义区,昌平区,门头沟区,平谷区,怀柔区,密云区,延庆区
2014,91.123791544236,86.52330254143685,97.98582793738149,91.02489422004754,109.69386091709138,103.64453539487727,106.18345966233476,81.49255809825381,79.6167456163973,79.5372815455532,86.76416721899919,78.3535449253841,70.15913678485597,72.53331367663431
2015,86.06914015871065,77.75461553988218,89.81534053489248,84.03251092629351,104.30628000896006,97.15153658962191,98.23431229187759,78.6010829351898,67.46940962152713,69.74015672824919,77.72630205121972,70.63651964551055,60.767706631424524,59.28519828931342
2016,75.70607317925071,68.77801974287804,80.47298232846155,76.73163932927095,90.81940601371237,86.66366494541408,85.51150329478253,68.9025584999438,60.36702167886847,63.410116780213855,68.76597933730793,60.75692823817743,54.88357974325195,57.36046369701254
2017,61.067500339881434,57.080618469058784,64.6957654869764,62.78054852013887,70.42096871534514,67.61117948111166,71.83796870307275,58.137015025623725,50.53575287621204,58.71989577928182,63.22574110825362,51.07391599591585,48.611990417512686,49.59757195611937
2018,51.57636570547595,48.93594675813245,52.65157160438281,54.34608884385704,61.4501742594087,57.922123303651915,61.65503617440765,51.06961954922463,44.61264737109488,48.007435891963574,48.02673252925462,43.78963167973081,43.73593377095389,48.25128082692905
2019,43.17644679609051,40.94241079150493,43.46924419345382,44.25850363145825,49.707262601441094,48.208311459945655,50.921501599847026,45.23791883981206,34.959897254279305,37.55701385001407,40.04006630222378,34.595262211870526,32.855939556718944,37.28984728604883
2020,38.02337579375431,38.6672720888703,38.61443037488164,41.410207621692116,43.32916935486477,41.75625857087582,46.2506398758008,41.021377526170454,33.16411627940172,32.743832000238726,33.792479937891386,31.709034530197595,28.69236468413972,33.5963864422399
2021,35.58596749584301,34.05650788949631,35.15763482557605,34.9019024863095,35.02142092450778,37.83724250226005,37.65791688448655,34.75199464932458,32.327653769562495,33.74110322925281,34.33239694582832,31.52826294868744,31.59722850312032,29.719637707373632
2022,30.623066390766564,29.073442852583867,30.89670197637322,29.717979737694808,31.095200050991362,33.33222004948042,32.40687547180723,28.675124286219813,25.97137545693259,28.309619248962903,28.472007777200144,25.810322546939194,25.346773926289092,25.993800664663766
2023,36.918713798779045,33.77722815701739,35.428012684279466,34.944776281411684,37.09216794104978,40.69807698883666,40.10878128500375,34.334230460477045,31.16872402852586,32.33601258203593,34.57372200627686,31.296978698399116,30.012929796375364,29.317217351816225
