date,hour,type,东城区,西城区,朝阳区,海淀区,丰台区,石景山区,房山区,大兴区,通州区,顺义区,昌平区,门头沟区,平谷区,怀柔区,密云区,延庆区
20200101,0,SO2,7.75,4.333333333333333,5.666666666666667,4.5,7.333333333333333,7.0,3.0,5.333333333333333,4.5,2.5,2.5,3.0,2.0,2.0,2.0,18.0
20200101,1,SO2,5.75,3.3333333333333335,4.0,4.0,5.666666666666667,5.0,3.5,4.0,4.0,2.0,3.0,4.0,2.0,2.0,2.0,20.5
20200101,2,SO2,4.75,3.3333333333333335,3.0,4.0,4.333333333333333,4.0,2.0,4.333333333333333,4.0,2.5,2.5,2.0,2.0,2.0,2.5,18.0
20200101,3,SO2,4.75,3.6666666666666665,4.0,3.0,3.6666666666666665,4.0,2.0,3.6666666666666665,4.0,2.5,2.5,2.0,2.0,1.0,2.0,18.0
20200101,4,SO2,6.0,4.666666666666667,4.666666666666667,4.5,3.6666666666666665,3.0,1.5,3.6666666666666665,3.0,2.5,3.0,2.0,1.0,1.0,2.0,16.5
20200101,5,SO2,7.5,5.666666666666667,4.0,4.5,4.333333333333333,2.0,1.5,3.0,2.5,2.0,3.5,1.0,1.0,1.0,2.0,15.0
20200101,6,SO2,7.25,7.333333333333333,5.333333333333333,4.5,5.333333333333333,3.0,2.5,3.0,2.5,2.5,6.5,2.0,1.0,1.0,2.0,13.5
20200101,7,SO2,6.5,7.0,3.0,4.0,5.333333333333333,4.0,2.5,2.6666666666666665,2.5,2.5,3.5,2.0,1.0,1.0,2.0,17.5
20200101,8,SO2,5.0,5.333333333333333,2.3333333333333335,4.5,4.666666666666667,6.0,2.0,2.6666666666666665,3.5,2.5,4.0,1.0,1.0,1.0,2.5,11.5
20200101,9,SO2,5.25,4.0,2.6666666666666665,6.5,5.333333333333333,7.0,2.0,3.6666666666666665,4.5,2.5,6.0,2.0,2.0,3.0,2.5,13.5
20200101,10,SO2,6.25,4.666666666666667,3.0,8.5,7.333333333333333,8.0,3.5,5.333333333333333,5.0,2.5,9.5,3.0,3.0,3.0,2.0,22.0
20200101,11,SO2,8.0,5.666666666666667,4.333333333333333,10.5,8.0,9.0,5.5,6.666666666666667,5.0,2.5,9.0,5.0,3.0,3.0,2.5,31.0
20200101,12,SO2,11.0,8.333333333333334,6.5,10.0,11.0,12.0,7.5,9.666666666666666,5.0,2.5,11.5,7.0,5.0,3.0,2.5,33.5
20200101,13,SO2,14.25,12.0,9.333333333333334,12.0,12.666666666666666,12.0,7.5,11.666666666666666,6.5,3.0,14.0,11.0,5.0,5.0,2.0,29.5
20200101,14,SO2,15.75,13.666666666666666,12.0,12.0,12.666666666666666,11.0,7.5,11.666666666666666,7.0,4.0,15.5,12.0,6.0,7.0,2.5,26.5
20200101,15,SO2,14.0,13.0,11.333333333333334,12.0,12.333333333333334,10.0,7.5,10.666666666666666,7.0,3.5,15.0,11.0,7.0,7.0,2.5,26.0
20200101,16,SO2,13.25,12.0,10.333333333333334,12.0,11.0,10.0,7.5,10.333333333333334,7.0,5.0,13.5,10.0,8.0,7.0,3.5,25.5
20200101,17,SO2,13.25,11.0,10.666666666666666,11.0,11.666666666666666,10.0,8.5,9.333333333333334,7.0,4.5,12.0,9.0,10.0,6.0,3.5,22.5
20200101,18,SO2,12.0,10.0,10.5,12.5,10.666666666666666,8.0,7.5,8.333333333333334,7.5,4.5,8.5,9.0,8.0,4.0,3.0,19.5
20200101,19,SO2,10.25,10.0,8.333333333333334,8.5,9.5,8.0,6.0,7.333333333333333,7.0,3.5,7.0,6.0,9.0,4.0,3.0,16.0
20200101,20,SO2,8.75,9.0,8.333333333333334,7.5,9.333333333333334,8.0,4.5,7.0,7.5,4.5,7.0,7.0,7.0,3.0,3.5,16.0
20200101,21,SO2,8.0,8.666666666666666,8.0,8.0,8.666666666666666,7.0,4.5,6.666666666666667,6.0,5.5,6.5,9.0,5.0,3.0,3.0,14.5
20200101,22,SO2,8.0,8.0,7.666666666666667,7.0,9.0,7.0,4.0,7.666666666666667,7.5,5.5,7.5,7.0,5.0,3.0,1.5,12.5
20200101,23,SO2,7.25,10.666666666666666,9.666666666666666,8.5,9.0,7.0,3.0,6.0,7.5,4.5,6.5,6.0,4.0,3.0,2.0,9.5
20200102,0,SO2,8.0,11.333333333333334,15.0,7.5,11.333333333333334,7.0,2.5,5.666666666666667,6.0,3.0,5.5,5.0,5.0,2.0,1.5,11.5
20200102,1,SO2,10.0,12.0,14.666666666666666,6.5,11.666666666666666,7.0,2.5,6.0,4.5,3.5,6.0,4.0,4.0,3.0,1.5,14.5
20200102,2,SO2,7.25,9.666666666666666,13.0,3.5,10.666666666666666,5.0,3.5,5.666666666666667,4.0,3.5,5.0,4.0,3.0,3.0,2.0,11.0
20200102,3,SO2,7.25,9.333333333333334,12.0,3.5,9.333333333333334,5.0,3.0,5.666666666666667,5.0,2.5,4.0,4.0,2.0,2.0,1.5,16.5
20200102,4,SO2,5.5,8.333333333333334,12.0,3.0,9.0,4.0,2.5,6.333333333333333,7.0,2.5,3.5,3.0,2.0,2.0,2.0,15.5
20200102,5,SO2,5.5,7.0,11.666666666666666,3.0,8.0,4.0,2.0,4.666666666666667,7.0,2.5,2.5,3.0,1.0,1.0,2.5,19.0
20200102,6,SO2,6.0,7.333333333333333,12.0,2.5,7.666666666666667,4.0,3.0,4.333333333333333,7.5,2.5,2.5,2.0,1.0,1.0,2.5,13.0
20200102,7,SO2,6.0,7.666666666666667,9.666666666666666,2.5,7.333333333333333,4.0,2.0,4.666666666666667,7.0,2.5,5.0,2.0,1.0,2.0,2.5,18.5
20200102,8,SO2,5.5,8.666666666666666,9.0,3.0,7.0,4.0,2.0,4.666666666666667,6.5,2.5,4.0,2.0,2.0,2.0,1.5,16.5
20200102,9,SO2,7.75,9.333333333333334,11.333333333333334,3.5,7.666666666666667,5.0,3.0,6.0,7.0,3.5,12.0,4.0,3.0,4.0,2.0,16.5
20200102,10,SO2,7.5,9.5,18.0,6.5,10.0,8.0,6.5,7.333333333333333,9.0,3.0,7.0,5.0,5.0,4.0,2.5,18.0
20200102,11,SO2,10.666666666666666,11.666666666666666,24.666666666666668,8.5,11.0,11.0,8.5,9.0,10.0,3.5,6.0,8.0,5.0,4.0,2.5,22.0
20200102,12,SO2,13.0,12.666666666666666,18.666666666666668,11.0,11.333333333333334,12.0,11.5,11.333333333333334,11.5,3.5,8.0,8.0,5.0,4.0,3.0,23.5
20200102,13,SO2,12.5,13.0,13.0,13.5,11.333333333333334,12.0,13.0,12.0,10.5,3.5,9.0,8.0,5.0,4.0,3.5,24.5
20200102,14,SO2,12.333333333333334,12.666666666666666,10.333333333333334,12.5,11.666666666666666,11.0,14.5,10.666666666666666,9.5,4.0,9.5,8.0,5.0,4.0,3.5,23.0
20200102,15,SO2,11.333333333333334,12.0,10.666666666666666,11.5,11.666666666666666,10.0,14.5,9.666666666666666,8.5,4.0,10.5,7.0,5.0,4.0,3.5,20.5
20200102,16,SO2,10.333333333333334,10.5,11.0,10.5,9.666666666666666,7.0,12.0,9.666666666666666,8.5,3.5,13.0,6.0,4.0,4.0,2.0,19.0
20200102,17,SO2,7.666666666666667,9.0,11.0,8.5,8.333333333333334,7.0,11.5,8.666666666666666,9.0,4.0,10.5,6.0,4.0,4.0,2.5,17.0
20200102,18,SO2,7.5,8.333333333333334,8.333333333333334,7.5,10.666666666666666,6.0,12.5,8.333333333333334,9.0,4.0,8.5,6.0,4.0,3.0,2.5,19.0
20200102,19,SO2,7.0,7.666666666666667,8.0,6.5,11.333333333333334,7.0,10.5,9.333333333333334,9.0,5.0,7.0,9.0,5.0,3.0,2.0,20.0
20200102,20,SO2,7.0,7.333333333333333,7.0,7.0,13.0,7.0,10.0,10.0,9.5,6.0,7.5,10.0,5.0,3.0,2.5,23.5
20200102,21,SO2,6.0,7.666666666666667,7.0,7.5,13.333333333333334,7.0,7.5,9.333333333333334,9.5,5.0,7.0,10.0,4.0,3.0,2.0,21.5
20200102,22,SO2,6.5,9.0,9.333333333333334,4.5,13.666666666666666,7.0,7.5,9.0,9.5,4.5,8.5,9.0,3.0,3.0,1.5,18.5
20200102,23,SO2,7.0,9.0,11.0,5.5,15.0,9.0,6.0,9.666666666666666,9.0,4.5,7.0,7.0,3.0,2.0,1.0,26.0
20200103,0,SO2,7.25,10.0,12.333333333333334,5.5,14.0,10.0,5.0,9.0,7.0,4.5,5.0,5.0,3.0,2.0,1.5,26.5
20200103,1,SO2,7.0,9.0,17.0,4.5,13.666666666666666,10.0,4.0,8.333333333333334,6.5,4.0,6.0,4.0,2.0,2.0,1.5,22.0
20200103,2,SO2,7.0,9.666666666666666,18.666666666666668,5.0,14.0,11.0,3.5,8.333333333333334,8.0,4.5,5.5,4.0,2.0,2.0,1.5,22.5
20200103,3,SO2,7.0,9.666666666666666,18.0,3.5,12.0,11.0,3.0,8.0,8.0,5.0,7.0,3.0,2.0,1.0,1.5,19.0
20200103,4,SO2,5.5,7.666666666666667,13.0,3.5,10.333333333333334,12.0,2.5,7.0,7.5,5.0,10.5,3.0,1.0,1.0,1.5,19.0
20200103,5,SO2,4.75,4.666666666666667,9.333333333333334,3.5,11.0,12.0,2.0,6.666666666666667,7.0,4.5,9.5,3.0,1.0,1.0,2.0,16.0
20200103,6,SO2,3.75,4.0,8.666666666666666,4.0,9.666666666666666,9.0,2.5,7.333333333333333,8.5,4.0,11.5,4.0,1.0,1.0,1.5,20.0
20200103,7,SO2,6.5,4.666666666666667,7.666666666666667,3.5,8.666666666666666,7.0,2.0,7.0,7.5,3.5,5.5,4.0,1.0,1.0,1.5,21.5
20200103,8,SO2,5.5,4.333333333333333,8.0,3.5,7.666666666666667,6.0,2.0,6.666666666666667,6.5,7.0,5.5,5.0,1.0,2.0,1.5,19.0
20200103,9,SO2,4.5,4.666666666666667,7.0,4.5,9.333333333333334,8.0,3.0,7.0,9.0,8.0,6.0,5.0,2.0,4.0,2.5,19.0
20200103,10,SO2,5.75,5.333333333333333,8.333333333333334,8.0,9.333333333333334,11.0,6.5,9.666666666666666,12.0,7.5,7.5,6.0,4.0,5.0,4.0,23.0
