date,hour,type,东城区,西城区,朝阳区,海淀区,丰台区,石景山区,昌平区,延庆区,怀柔区,密云区,平谷区,顺义区,通州区,大兴区,门头沟区,房山区
20220101,0,SO2,2.0,7.5,9.0,3.5,3.0,2.5,2.6666666666666665,2.5,2.0,3.0,2.0,2.0,4.5,2.0,3.0,4.5
20220101,1,SO2,2.0,7.5,8.5,3.5,2.0,2.5,2.6666666666666665,2.5,2.0,3.5,2.0,2.0,4.5,2.0,2.0,5.0
20220101,2,SO2,2.0,7.0,7.0,3.0,2.0,2.0,2.6666666666666665,3.0,3.0,2.5,2.0,1.0,4.0,2.0,1.5,2.0
20220101,3,SO2,2.5,8.0,6.0,2.5,2.0,2.0,1.6666666666666667,3.0,2.5,2.5,1.0,1.0,3.0,2.0,1.5,3.0
20220101,4,SO2,2.5,8.5,5.0,2.5,2.0,2.0,1.6666666666666667,3.0,2.0,2.0,2.0,2.0,2.5,2.0,1.5,2.5
20220101,5,SO2,2.5,7.5,4.5,2.5,1.5,2.0,1.6666666666666667,3.0,1.5,2.5,3.0,2.0,3.5,1.75,1.5,2.0
20220101,6,SO2,2.0,7.0,5.0,2.5,1.5,2.0,1.6666666666666667,3.0,1.5,2.5,2.0,1.0,3.0,1.75,1.0,2.5
20220101,7,SO2,2.0,8.0,5.5,2.5,1.0,2.0,1.6666666666666667,3.0,1.5,2.5,1.0,1.0,2.5,2.0,1.5,5.0
20220101,8,SO2,3.0,7.0,5.5,2.5,2.0,2.0,1.0,3.0,1.5,3.0,1.0,1.0,2.0,2.25,1.5,6.0
20220101,9,SO2,2.0,7.5,6.5,3.0,4.0,2.5,1.0,3.0,2.0,3.5,2.0,1.5,4.0,2.0,2.0,13.0
20220101,10,SO2,4.5,9.0,7.0,3.5,5.5,3.5,2.3333333333333335,2.0,4.0,4.0,3.0,2.0,3.5,3.0,3.0,7.5
20220101,11,SO2,7.5,10.5,7.0,4.5,10.0,6.5,2.6666666666666665,5.5,3.5,4.5,3.5,2.5,4.5,4.75,3.5,8.5
20220101,12,SO2,8.5,12.0,9.5,6.0,15.0,9.0,3.6666666666666665,8.0,4.0,5.5,7.0,4.0,7.0,7.0,7.0,15.0
20220101,13,SO2,9.0,13.5,10.0,6.0,17.5,15.0,3.3333333333333335,6.0,5.5,7.5,13.5,5.0,9.5,8.75,8.5,34.5
20220101,14,SO2,5.5,7.5,6.5,3.0,8.5,3.5,1.3333333333333333,1.0,5.5,8.0,11.0,4.0,8.0,9.75,4.0,26.0
20220101,15,SO2,1.0,4.0,1.5,2.0,2.5,2.5,2.3333333333333335,3.0,1.5,8.0,7.0,2.0,2.5,4.0,1.0,15.5
20220101,16,SO2,2.0,3.0,1.0,2.0,2.0,2.5,3.0,3.0,2.0,3.0,4.0,3.0,1.0,2.0,1.0,2.5
20220101,17,SO2,2.0,3.0,1.0,2.0,3.0,2.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,2.75,3.0,2.0
20220101,18,SO2,2.0,3.0,1.0,2.0,3.0,2.5,3.0,3.0,2.0,2.5,2.0,3.0,3.0,2.75,3.0,2.0
